player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Alisson,br BRA,GK,Liverpool,28-336,1992,3.0,3.0,270.0,1.0,0.33,9.0,8.0,88.9,2.0,1.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.9,0.25,0.9,0.32,13.0,25.0,52.0,84.0,16.0,21.4,30.3,15.0,46.7,42.1,28.0,2.0,7.1,5.0,1.67,18.4
Daniel Bachmann,at AUT,GK,Watford,27-056,1994,3.0,3.0,270.0,5.0,1.67,12.0,8.0,66.7,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4.1,0.26,-0.9,-0.3,13.0,37.0,35.1,71.0,18.0,38.0,36.9,25.0,40.0,39.5,32.0,2.0,6.3,0.0,0.0,11.8
Ederson,br BRA,GK,Manchester City,28-017,1993,3.0,3.0,270.0,1.0,0.33,2.0,1.0,50.0,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.6,0.28,-0.4,-0.15,10.0,16.0,62.5,59.0,11.0,23.7,29.3,12.0,16.7,35.3,9.0,0.0,0.0,5.0,1.67,19.9
Łukasz Fabiański,pl POL,GK,West Ham,36-138,1985,3.0,3.0,270.0,5.0,1.67,6.0,1.0,16.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.1,0.52,-1.9,-0.62,19.0,40.0,47.5,45.0,9.0,57.8,44.4,20.0,70.0,48.3,25.0,2.0,8.0,0.0,0.0,13.6
David de Gea,es ESP,GK,Manchester Utd,30-300,1990,3.0,3.0,270.0,2.0,0.67,11.0,10.0,81.8,2.0,1.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.21,1.0,0.33,13.0,21.0,61.9,48.0,9.0,18.8,26.8,25.0,48.0,36.1,24.0,1.0,4.2,1.0,0.33,14.8
Vicente Guaita,es ESP,GK,Crystal Palace,34-236,1987,3.0,3.0,270.0,5.0,1.67,13.0,8.0,61.5,0.0,2.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.5,0.27,-1.5,-0.51,20.0,45.0,44.4,90.0,18.0,35.6,33.3,28.0,46.4,32.7,30.0,2.0,6.7,1.0,0.33,11.4
Tim Krul,nl NED,GK,Norwich City,33-153,1988,3.0,3.0,270.0,10.0,3.33,13.0,4.0,23.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,6.3,0.48,-2.7,-0.91,21.0,59.0,35.6,110.0,14.0,44.5,37.8,27.0,37.0,35.6,28.0,3.0,10.7,3.0,1.0,13.8
Bernd Leno,de GER,GK,Arsenal,29-183,1992,3.0,3.0,270.0,9.0,3.0,18.0,8.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,0.39,-2.0,-0.66,11.0,39.0,28.2,61.0,11.0,37.7,36.4,26.0,61.5,45.6,30.0,2.0,6.7,1.0,0.33,13.1
Hugo Lloris,fr FRA,GK,Tottenham,34-251,1986,3.0,3.0,270.0,0.0,0.0,11.0,11.0,100.0,3.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.4,0.13,1.4,0.46,24.0,49.0,49.0,42.0,10.0,66.7,45.4,30.0,70.0,51.8,36.0,0.0,0.0,1.0,0.33,12.9
Emiliano Martínez,ar ARG,GK,Aston Villa,29-001,1992,3.0,3.0,270.0,4.0,1.33,10.0,6.0,60.0,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.7,0.27,-1.3,-0.43,19.0,40.0,47.5,67.0,13.0,37.3,37.1,24.0,62.5,48.4,25.0,2.0,8.0,4.0,1.33,16.3
