player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Alex McCarthy,eng ENG,GK,Southampton,31-274,1989,3.0,3.0,270.0,6.0,2.0,13.0,7.0,53.8,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,5.9,0.45,-0.1,-0.03,11.0,50.0,22.0,48.0,13.0,56.3,46.2,27.0,85.2,64.3,27.0,3.0,11.1,0.0,0.0,10.3
Edouard Mendy,sn SEN,GK,Chelsea,29-186,1992,3.0,3.0,270.0,1.0,0.33,10.0,10.0,100.0,2.0,1.0,0.0,2.0,66.7,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.2,0.05,0.2,0.07,12.0,31.0,38.7,81.0,9.0,27.2,29.7,22.0,40.9,35.8,28.0,2.0,7.1,3.0,1.0,15.1
Illan Meslier,fr FRA,GK,Leeds United,21-185,2000,3.0,3.0,270.0,8.0,2.67,18.0,11.0,61.1,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,5.5,0.26,-2.5,-0.82,15.0,41.0,36.6,95.0,26.0,32.6,30.7,25.0,40.0,34.7,16.0,2.0,12.5,4.0,1.33,17.3
Jordan Pickford,eng ENG,GK,Everton,27-180,1994,3.0,3.0,270.0,3.0,1.0,10.0,7.0,70.0,2.0,1.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.9,0.29,-0.1,-0.04,20.0,73.0,27.4,62.0,8.0,77.4,54.1,27.0,92.6,72.7,25.0,2.0,8.0,1.0,0.33,12.7
Nick Pope,eng ENG,GK,Burnley,29-137,1992,3.0,3.0,270.0,5.0,1.67,16.0,11.0,68.8,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.7,0.29,-0.3,-0.1,28.0,72.0,38.9,63.0,9.0,76.2,56.5,26.0,92.3,68.0,28.0,3.0,10.7,5.0,1.67,17.6
David Raya,es ESP,GK,Brentford,25-353,1995,3.0,3.0,270.0,1.0,0.33,11.0,10.0,90.9,1.0,2.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.3,0.21,1.3,0.44,23.0,79.0,29.1,129.0,17.0,44.2,38.5,25.0,88.0,62.3,33.0,4.0,12.1,4.0,1.33,16.0
José Sá,pt POR,GK,Wolves,28-229,1993,3.0,3.0,270.0,3.0,1.0,13.0,11.0,84.6,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.8,0.23,0.8,0.28,8.0,17.0,47.1,48.0,15.0,27.1,33.2,11.0,36.4,35.2,12.0,2.0,16.7,3.0,1.0,15.8
Robert Sánchez,es ESP,GK,Brighton,23-289,1997,3.0,3.0,270.0,3.0,1.0,9.0,7.0,77.8,2.0,0.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.23,0.0,0.0,8.0,49.0,16.3,116.0,19.0,31.9,35.2,22.0,54.5,48.0,36.0,8.0,22.2,1.0,0.33,13.7
Kasper Schmeichel,dk DEN,GK,Leicester City,34-302,1986,3.0,3.0,270.0,5.0,1.67,13.0,9.0,69.2,2.0,0.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.9,0.31,-0.1,-0.05,16.0,40.0,40.0,83.0,14.0,36.1,36.3,28.0,35.7,36.4,30.0,3.0,10.0,2.0,0.67,15.0
Freddie Woodman,eng ENG,GK,Newcastle Utd,24-183,1997,3.0,3.0,270.0,8.0,2.67,13.0,7.0,53.8,0.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.37,-1.0,-0.33,10.0,43.0,23.3,50.0,11.0,40.0,36.4,34.0,67.6,54.2,24.0,1.0,4.2,0.0,0.0,12.1
