squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,22.0,39.7,3.0,33.0,270.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,1.8,0.65,0.62,1.26,0.65,1.26,3.0,3.0,270.0,9.0,3.0,18.0,8.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,0.39,-2.0,-0.66,11.0,39.0,28.2,61.0,11.0,37.7,36.4,26.0,61.5,45.6,30.0,2.0,6.7,1.0,0.33,13.1,29.0,7.0,1.0,24.1,9.67,2.33,0.0,0.0,0.07,-1.9,-1.9,942.0,1165.0,80.9,17762.0,5706.0,390.0,435.0,89.7,403.0,462.0,87.2,126.0,227.0,55.5,-1.8,26.0,66.0,29.0,7.0,84.0,1038.0,127.0,23.0,4.0,168.0,33.0,25.0,14.0,3.0,7.0,1.0,765.0,162.0,238.0,474.0,540.0,56.0,52.0,16.0,8.0,19.0,28.0,23.0,53.0,17.67,44.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,17.0,11.0,8.0,16.0,41.0,39.0,25.0,436.0,94.0,21.6,156.0,153.0,127.0,64.0,22.0,0.0,42.0,51.0,62.0,3.0,1507.0,219.0,517.0,656.0,445.0,67.0,1385.0,25.0,49.0,51.0,30.0,0.0,946.0,4889.0,2495.0,96.0,36.0,11.0,1095.0,942.0,86.0,33.0,32.0,0.0,25.0,20.0,9.0,0.0,0.0,0.0,181.0,47.0,45.0,51.1
Aston Villa,21.0,52.0,3.0,33.0,270.0,5.0,3.0,2.0,2.0,7.0,0.0,1.67,1.0,2.67,1.0,2.0,2.8,1.4,1.0,0.93,0.35,1.27,0.46,0.81,3.0,3.0,270.0,4.0,1.33,10.0,6.0,60.0,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.7,0.27,-1.3,-0.43,19.0,40.0,47.5,67.0,13.0,37.3,37.1,24.0,62.5,48.4,25.0,2.0,8.0,4.0,1.33,16.3,26.0,7.0,1.0,26.9,8.67,2.33,0.12,0.43,0.05,2.2,1.6,976.0,1264.0,77.2,20829.0,7229.0,329.0,382.0,86.1,456.0,523.0,87.2,179.0,319.0,56.1,2.0,19.0,83.0,23.0,7.0,93.0,1119.0,145.0,51.0,1.0,169.0,57.0,42.0,10.0,6.0,4.0,0.0,759.0,185.0,320.0,394.0,696.0,64.0,53.0,20.0,6.0,26.0,36.0,28.0,45.0,15.0,29.0,6.0,4.0,2.0,4.0,4.0,9.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,45.0,27.0,21.0,18.0,6.0,15.0,45.0,33.3,30.0,336.0,92.0,27.4,105.0,134.0,97.0,32.0,10.0,0.0,22.0,33.0,58.0,0.0,1581.0,170.0,534.0,732.0,410.0,66.0,1440.0,26.0,44.0,59.1,29.0,2.0,967.0,4461.0,2396.0,97.0,30.0,8.0,1203.0,976.0,81.1,40.0,33.0,0.0,36.0,47.0,6.0,1.0,0.0,0.0,250.0,57.0,59.0,49.1
Brentford,18.0,45.0,3.0,33.0,270.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,0.67,1.67,1.0,1.67,3.4,3.4,2.6,1.12,0.88,2.0,1.12,2.0,3.0,3.0,270.0,1.0,0.33,11.0,10.0,90.9,1.0,2.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.3,0.21,1.3,0.44,23.0,79.0,29.1,129.0,17.0,44.2,38.5,25.0,88.0,62.3,33.0,4.0,12.1,4.0,1.33,16.0,31.0,8.0,1.0,25.8,10.33,2.67,0.1,0.38,0.11,-0.4,-0.4,827.0,1161.0,71.2,16738.0,6058.0,317.0,377.0,84.1,363.0,438.0,82.9,128.0,287.0,44.6,-0.6,25.0,56.0,21.0,3.0,72.0,1026.0,135.0,37.0,3.0,139.0,33.0,23.0,9.0,7.0,0.0,1.0,642.0,178.0,341.0,387.0,558.0,73.0,60.0,30.0,5.0,35.0,36.0,45.0,53.0,17.67,38.0,6.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,73.0,51.0,35.0,28.0,10.0,22.0,55.0,40.0,33.0,487.0,159.0,32.6,180.0,205.0,102.0,35.0,5.0,0.0,30.0,39.0,74.0,1.0,1509.0,256.0,653.0,607.0,321.0,56.0,1377.0,21.0,34.0,61.8,23.0,4.0,793.0,3789.0,1995.0,60.0,20.0,5.0,1092.0,827.0,75.7,30.0,35.0,0.0,35.0,31.0,5.0,0.0,0.0,0.0,256.0,59.0,65.0,47.6
Brighton,18.0,62.3,3.0,33.0,270.0,4.0,4.0,0.0,0.0,6.0,0.0,1.33,1.33,2.67,1.33,2.67,3.7,3.7,2.5,1.23,0.82,2.05,1.23,2.05,3.0,3.0,270.0,3.0,1.0,9.0,7.0,77.8,2.0,0.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.23,0.0,0.0,8.0,49.0,16.3,116.0,19.0,31.9,35.2,22.0,54.5,48.0,36.0,8.0,22.2,1.0,0.33,13.7,41.0,12.0,3.0,29.3,13.67,4.0,0.1,0.33,0.09,0.3,0.3,1525.0,1804.0,84.5,30211.0,8247.0,532.0,585.0,90.9,760.0,836.0,90.9,205.0,315.0,65.1,1.5,30.0,76.0,26.0,5.0,97.0,1681.0,123.0,24.0,0.0,196.0,53.0,30.0,17.0,5.0,9.0,0.0,1413.0,149.0,242.0,331.0,1318.0,44.0,54.0,25.0,1.0,27.0,38.0,37.0,70.0,23.33,47.0,9.0,5.0,5.0,4.0,4.0,7.0,2.33,5.0,1.0,0.0,0.0,1.0,1.0,63.0,35.0,38.0,14.0,11.0,20.0,43.0,46.5,23.0,435.0,143.0,32.9,179.0,131.0,125.0,48.0,12.0,0.0,36.0,23.0,87.0,0.0,2182.0,249.0,932.0,867.0,517.0,76.0,2061.0,19.0,26.0,73.1,21.0,0.0,1457.0,6887.0,3886.0,142.0,44.0,11.0,1733.0,1525.0,88.0,31.0,49.0,0.0,25.0,24.0,2.0,0.0,1.0,0.0,251.0,50.0,57.0,46.7
Burnley,16.0,35.0,3.0,33.0,270.0,2.0,2.0,0.0,0.0,6.0,0.0,0.67,0.67,1.33,0.67,1.33,3.3,3.3,2.3,1.09,0.75,1.84,1.09,1.84,3.0,3.0,270.0,5.0,1.67,16.0,11.0,68.8,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.7,0.29,-0.3,-0.1,28.0,72.0,38.9,63.0,9.0,76.2,56.5,26.0,92.3,68.0,28.0,3.0,10.7,5.0,1.67,17.6,35.0,10.0,1.0,28.6,11.67,3.33,0.06,0.2,0.1,-1.3,-1.3,625.0,933.0,67.0,13561.0,6012.0,260.0,310.0,83.9,217.0,288.0,75.3,136.0,299.0,45.5,-0.3,26.0,69.0,15.0,8.0,61.0,788.0,145.0,26.0,3.0,210.0,31.0,46.0,16.0,16.0,0.0,0.0,429.0,150.0,354.0,302.0,439.0,50.0,69.0,13.0,9.0,20.0,20.0,29.0,55.0,18.33,35.0,8.0,2.0,6.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,59.0,32.0,29.0,23.0,7.0,19.0,43.0,44.2,24.0,316.0,90.0,28.5,105.0,146.0,65.0,60.0,22.0,4.0,38.0,46.0,88.0,1.0,1290.0,181.0,431.0,515.0,410.0,43.0,1148.0,24.0,37.0,64.9,26.0,1.0,666.0,3891.0,1723.0,78.0,30.0,6.0,852.0,625.0,73.4,30.0,31.0,0.0,35.0,22.0,10.0,0.0,0.0,0.0,221.0,80.0,68.0,54.1
Chelsea,18.0,54.3,3.0,33.0,270.0,6.0,4.0,0.0,0.0,2.0,1.0,2.0,1.33,3.33,2.0,3.33,4.6,4.6,3.8,1.53,1.25,2.78,1.53,2.78,3.0,3.0,270.0,1.0,0.33,10.0,10.0,100.0,2.0,1.0,0.0,2.0,66.7,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.2,0.05,0.2,0.07,12.0,31.0,38.7,81.0,9.0,27.2,29.7,22.0,40.9,35.8,28.0,2.0,7.1,3.0,1.0,15.1,41.0,13.0,4.0,31.7,13.67,4.33,0.15,0.46,0.11,1.4,1.4,1520.0,1769.0,85.9,27257.0,8341.0,684.0,744.0,91.9,625.0,689.0,90.7,169.0,262.0,64.5,0.2,30.0,100.0,40.0,7.0,108.0,1632.0,137.0,36.0,10.0,209.0,34.0,36.0,16.0,13.0,0.0,0.0,1359.0,189.0,221.0,338.0,1290.0,37.0,58.0,17.0,2.0,15.0,36.0,35.0,69.0,23.0,58.0,2.0,3.0,0.0,5.0,5.0,12.0,4.0,9.0,1.0,0.0,0.0,2.0,2.0,60.0,33.0,35.0,14.0,11.0,21.0,45.0,46.7,24.0,436.0,136.0,31.2,155.0,181.0,100.0,43.0,7.0,1.0,36.0,59.0,73.0,0.0,2135.0,270.0,775.0,899.0,583.0,92.0,2000.0,19.0,34.0,55.9,22.0,0.0,1392.0,6286.0,3100.0,138.0,44.0,14.0,1713.0,1520.0,88.7,28.0,31.0,0.0,23.0,33.0,2.0,0.0,0.0,0.0,196.0,39.0,43.0,47.6
Crystal Palace,15.0,48.3,3.0,33.0,270.0,2.0,1.0,0.0,0.0,3.0,0.0,0.67,0.33,1.0,0.67,1.0,1.5,1.5,1.5,0.51,0.5,1.01,0.51,1.01,3.0,3.0,270.0,5.0,1.67,13.0,8.0,61.5,0.0,2.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.5,0.27,-1.5,-0.51,20.0,45.0,44.4,90.0,18.0,35.6,33.3,28.0,46.4,32.7,30.0,2.0,6.7,1.0,0.33,11.4,20.0,5.0,0.0,25.0,6.67,1.67,0.1,0.4,0.08,0.5,0.5,1140.0,1400.0,81.4,22214.0,7109.0,461.0,528.0,87.3,499.0,566.0,88.2,157.0,259.0,60.6,-0.5,18.0,47.0,20.0,7.0,67.0,1256.0,144.0,38.0,0.0,186.0,42.0,20.0,8.0,4.0,2.0,1.0,906.0,209.0,285.0,312.0,894.0,56.0,62.0,27.0,4.0,23.0,45.0,21.0,35.0,11.67,27.0,4.0,2.0,0.0,2.0,2.0,4.0,1.33,3.0,0.0,1.0,0.0,0.0,0.0,46.0,25.0,23.0,19.0,4.0,10.0,33.0,30.3,23.0,376.0,89.0,23.7,158.0,152.0,66.0,53.0,14.0,0.0,39.0,34.0,76.0,1.0,1788.0,283.0,758.0,810.0,318.0,50.0,1647.0,26.0,49.0,53.1,27.0,2.0,1152.0,5228.0,2608.0,79.0,29.0,5.0,1341.0,1140.0,85.0,60.0,41.0,0.0,30.0,32.0,4.0,0.0,0.0,0.0,242.0,64.0,42.0,60.4
Everton,17.0,37.3,3.0,33.0,270.0,7.0,5.0,2.0,2.0,8.0,0.0,2.33,1.67,4.0,1.67,3.33,6.1,4.6,4.0,2.03,1.34,3.37,1.53,2.87,3.0,3.0,270.0,3.0,1.0,10.0,7.0,70.0,2.0,1.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.9,0.29,-0.1,-0.04,20.0,73.0,27.4,62.0,8.0,77.4,54.1,27.0,92.6,72.7,25.0,2.0,8.0,1.0,0.33,12.7,43.0,17.0,1.0,39.5,14.33,5.67,0.12,0.29,0.11,0.9,0.4,730.0,1009.0,72.3,14604.0,5890.0,298.0,350.0,85.1,290.0,350.0,82.9,113.0,243.0,46.5,1.0,36.0,56.0,21.0,7.0,87.0,866.0,143.0,26.0,4.0,230.0,24.0,29.0,16.0,2.0,12.0,1.0,568.0,149.0,292.0,292.0,547.0,57.0,68.0,16.0,0.0,32.0,32.0,33.0,69.0,23.0,58.0,5.0,0.0,3.0,3.0,3.0,12.0,4.0,10.0,0.0,0.0,0.0,2.0,2.0,65.0,38.0,38.0,19.0,8.0,23.0,61.0,37.7,38.0,438.0,135.0,30.8,178.0,167.0,93.0,46.0,17.0,0.0,29.0,44.0,92.0,1.0,1426.0,201.0,545.0,521.0,445.0,68.0,1285.0,22.0,50.0,44.0,24.0,2.0,778.0,4361.0,2325.0,88.0,35.0,16.0,948.0,730.0,77.0,34.0,44.0,0.0,35.0,27.0,0.0,2.0,0.0,0.0,246.0,47.0,50.0,48.5
Leeds United,17.0,62.0,3.0,33.0,270.0,4.0,3.0,0.0,0.0,7.0,0.0,1.33,1.0,2.33,1.33,2.33,3.6,3.6,2.2,1.21,0.74,1.95,1.21,1.95,3.0,3.0,270.0,8.0,2.67,18.0,11.0,61.1,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,5.5,0.26,-2.5,-0.82,15.0,41.0,36.6,95.0,26.0,32.6,30.7,25.0,40.0,34.7,16.0,2.0,12.5,4.0,1.33,17.3,41.0,9.0,0.0,22.0,13.67,3.0,0.1,0.44,0.09,0.4,0.4,1359.0,1646.0,82.6,27360.0,8362.0,511.0,578.0,88.4,622.0,679.0,91.6,209.0,341.0,61.3,0.8,30.0,82.0,24.0,8.0,118.0,1493.0,153.0,41.0,1.0,224.0,53.0,41.0,17.0,8.0,4.0,2.0,1136.0,235.0,275.0,804.0,672.0,61.0,59.0,34.0,4.0,28.0,56.0,33.0,57.0,19.0,38.0,9.0,2.0,4.0,4.0,4.0,7.0,2.33,4.0,1.0,1.0,1.0,0.0,0.0,55.0,29.0,33.0,19.0,3.0,23.0,53.0,43.4,30.0,511.0,152.0,29.7,175.0,231.0,105.0,39.0,11.0,0.0,28.0,47.0,81.0,2.0,2027.0,228.0,784.0,917.0,452.0,66.0,1884.0,24.0,50.0,48.0,26.0,2.0,1298.0,6987.0,3899.0,137.0,38.0,11.0,1605.0,1359.0,84.7,46.0,34.0,0.0,24.0,34.0,5.0,0.0,1.0,0.0,256.0,43.0,54.0,44.3
Leicester City,18.0,52.7,3.0,33.0,270.0,4.0,3.0,0.0,0.0,3.0,1.0,1.33,1.0,2.33,1.33,2.33,2.8,2.8,1.4,0.94,0.47,1.42,0.94,1.42,3.0,3.0,270.0,5.0,1.67,13.0,9.0,69.2,2.0,0.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.9,0.31,-0.1,-0.05,16.0,40.0,40.0,83.0,14.0,36.1,36.3,28.0,35.7,36.4,30.0,3.0,10.0,2.0,0.67,15.0,23.0,9.0,0.0,39.1,7.67,3.0,0.17,0.44,0.13,1.2,1.2,1320.0,1586.0,83.2,25134.0,7235.0,481.0,537.0,89.6,669.0,736.0,90.9,149.0,264.0,56.4,1.6,16.0,61.0,14.0,1.0,84.0,1440.0,146.0,34.0,1.0,227.0,31.0,18.0,14.0,5.0,6.0,1.0,1171.0,198.0,217.0,327.0,1112.0,42.0,62.0,17.0,6.0,28.0,38.0,24.0,33.0,11.0,29.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,55.0,32.0,26.0,24.0,5.0,21.0,59.0,35.6,38.0,368.0,88.0,23.9,139.0,153.0,76.0,44.0,13.0,0.0,31.0,33.0,79.0,1.0,1931.0,220.0,743.0,971.0,330.0,52.0,1787.0,19.0,43.0,44.2,21.0,1.0,1289.0,5869.0,3349.0,119.0,32.0,15.0,1551.0,1320.0,85.1,28.0,38.0,0.0,23.0,25.0,7.0,0.0,1.0,0.0,218.0,36.0,37.0,49.3
