,squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
15,Southampton,18.0,50.7,3.0,33.0,270.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,0.33,1.33,0.67,1.0,5.1,4.4,3.6,1.71,1.21,2.92,1.45,2.66,3.0,3.0,270.0,6.0,2.0,13.0,7.0,53.8,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,5.9,0.45,-0.1,-0.03,11.0,50.0,22.0,48.0,13.0,56.3,46.2,27.0,85.2,64.3,27.0,3.0,11.1,0.0,0.0,10.3,35.0,11.0,3.0,31.4,11.67,3.67,0.06,0.18,0.14,-2.1,-2.4,981.0,1295.0,75.8,17409.0,5845.0,457.0,518.0,88.2,406.0,504.0,80.6,98.0,221.0,44.3,-2.6,25.0,78.0,16.0,6.0,81.0,1140.0,155.0,36.0,2.0,171.0,20.0,30.0,19.0,14.0,4.0,0.0,845.0,177.0,273.0,261.0,857.0,62.0,64.0,19.0,0.0,26.0,33.0,33.0,55.0,18.33,33.0,4.0,3.0,4.0,7.0,7.0,5.0,1.67,2.0,0.0,0.0,1.0,1.0,1.0,72.0,42.0,31.0,21.0,20.0,15.0,51.0,29.4,36.0,523.0,161.0,30.8,188.0,208.0,127.0,37.0,10.0,2.0,27.0,50.0,66.0,0.0,1681.0,163.0,480.0,796.0,512.0,71.0,1527.0,34.0,65.0,52.3,39.0,4.0,1009.0,5458.0,3339.0,154.0,49.0,14.0,1207.0,981.0,81.3,41.0,42.0,0.0,33.0,31.0,0.0,1.0,0.0,0.0,266.0,38.0,65.0,36.9
2,Brentford,18.0,45.0,3.0,33.0,270.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,0.67,1.67,1.0,1.67,3.4,3.4,2.6,1.12,0.88,2.0,1.12,2.0,3.0,3.0,270.0,1.0,0.33,11.0,10.0,90.9,1.0,2.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.3,0.21,1.3,0.44,23.0,79.0,29.1,129.0,17.0,44.2,38.5,25.0,88.0,62.3,33.0,4.0,12.1,4.0,1.33,16.0,31.0,8.0,1.0,25.8,10.33,2.67,0.1,0.38,0.11,-0.4,-0.4,827.0,1161.0,71.2,16738.0,6058.0,317.0,377.0,84.1,363.0,438.0,82.9,128.0,287.0,44.6,-0.6,25.0,56.0,21.0,3.0,72.0,1026.0,135.0,37.0,3.0,139.0,33.0,23.0,9.0,7.0,0.0,1.0,642.0,178.0,341.0,387.0,558.0,73.0,60.0,30.0,5.0,35.0,36.0,45.0,53.0,17.67,38.0,6.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,73.0,51.0,35.0,28.0,10.0,22.0,55.0,40.0,33.0,487.0,159.0,32.6,180.0,205.0,102.0,35.0,5.0,0.0,30.0,39.0,74.0,1.0,1509.0,256.0,653.0,607.0,321.0,56.0,1377.0,21.0,34.0,61.8,23.0,4.0,793.0,3789.0,1995.0,60.0,20.0,5.0,1092.0,827.0,75.7,30.0,35.0,0.0,35.0,31.0,5.0,0.0,0.0,0.0,256.0,59.0,65.0,47.6
8,Leeds United,17.0,62.0,3.0,33.0,270.0,4.0,3.0,0.0,0.0,7.0,0.0,1.33,1.0,2.33,1.33,2.33,3.6,3.6,2.2,1.21,0.74,1.95,1.21,1.95,3.0,3.0,270.0,8.0,2.67,18.0,11.0,61.1,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,5.5,0.26,-2.5,-0.82,15.0,41.0,36.6,95.0,26.0,32.6,30.7,25.0,40.0,34.7,16.0,2.0,12.5,4.0,1.33,17.3,41.0,9.0,0.0,22.0,13.67,3.0,0.1,0.44,0.09,0.4,0.4,1359.0,1646.0,82.6,27360.0,8362.0,511.0,578.0,88.4,622.0,679.0,91.6,209.0,341.0,61.3,0.8,30.0,82.0,24.0,8.0,118.0,1493.0,153.0,41.0,1.0,224.0,53.0,41.0,17.0,8.0,4.0,2.0,1136.0,235.0,275.0,804.0,672.0,61.0,59.0,34.0,4.0,28.0,56.0,33.0,57.0,19.0,38.0,9.0,2.0,4.0,4.0,4.0,7.0,2.33,4.0,1.0,1.0,1.0,0.0,0.0,55.0,29.0,33.0,19.0,3.0,23.0,53.0,43.4,30.0,511.0,152.0,29.7,175.0,231.0,105.0,39.0,11.0,0.0,28.0,47.0,81.0,2.0,2027.0,228.0,784.0,917.0,452.0,66.0,1884.0,24.0,50.0,48.0,26.0,2.0,1298.0,6987.0,3899.0,137.0,38.0,11.0,1605.0,1359.0,84.7,46.0,34.0,0.0,24.0,34.0,5.0,0.0,1.0,0.0,256.0,43.0,54.0,44.3
3,Brighton,18.0,62.3,3.0,33.0,270.0,4.0,4.0,0.0,0.0,6.0,0.0,1.33,1.33,2.67,1.33,2.67,3.7,3.7,2.5,1.23,0.82,2.05,1.23,2.05,3.0,3.0,270.0,3.0,1.0,9.0,7.0,77.8,2.0,0.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.23,0.0,0.0,8.0,49.0,16.3,116.0,19.0,31.9,35.2,22.0,54.5,48.0,36.0,8.0,22.2,1.0,0.33,13.7,41.0,12.0,3.0,29.3,13.67,4.0,0.1,0.33,0.09,0.3,0.3,1525.0,1804.0,84.5,30211.0,8247.0,532.0,585.0,90.9,760.0,836.0,90.9,205.0,315.0,65.1,1.5,30.0,76.0,26.0,5.0,97.0,1681.0,123.0,24.0,0.0,196.0,53.0,30.0,17.0,5.0,9.0,0.0,1413.0,149.0,242.0,331.0,1318.0,44.0,54.0,25.0,1.0,27.0,38.0,37.0,70.0,23.33,47.0,9.0,5.0,5.0,4.0,4.0,7.0,2.33,5.0,1.0,0.0,0.0,1.0,1.0,63.0,35.0,38.0,14.0,11.0,20.0,43.0,46.5,23.0,435.0,143.0,32.9,179.0,131.0,125.0,48.0,12.0,0.0,36.0,23.0,87.0,0.0,2182.0,249.0,932.0,867.0,517.0,76.0,2061.0,19.0,26.0,73.1,21.0,0.0,1457.0,6887.0,3886.0,142.0,44.0,11.0,1733.0,1525.0,88.0,31.0,49.0,0.0,25.0,24.0,2.0,0.0,1.0,0.0,251.0,50.0,57.0,46.7
19,Wolves,17.0,49.0,3.0,33.0,270.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.3,3.1,1.43,1.02,2.44,1.43,2.44,3.0,3.0,270.0,3.0,1.0,13.0,11.0,84.6,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.8,0.23,0.8,0.28,8.0,17.0,47.1,48.0,15.0,27.1,33.2,11.0,36.4,35.2,12.0,2.0,16.7,3.0,1.0,15.8,57.0,14.0,0.0,24.6,19.0,4.67,0.0,0.0,0.08,-4.3,-4.3,1165.0,1418.0,82.2,25162.0,7815.0,399.0,451.0,88.5,513.0,582.0,88.1,242.0,335.0,72.2,-3.1,42.0,84.0,26.0,7.0,106.0,1296.0,122.0,30.0,3.0,160.0,69.0,54.0,14.0,2.0,8.0,1.0,952.0,223.0,243.0,505.0,765.0,40.0,61.0,27.0,10.0,24.0,32.0,44.0,87.0,29.0,64.0,3.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,42.0,28.0,28.0,10.0,24.0,48.0,50.0,24.0,430.0,136.0,31.6,159.0,193.0,78.0,25.0,7.0,0.0,18.0,53.0,80.0,0.0,1797.0,163.0,587.0,815.0,531.0,88.0,1680.0,45.0,66.0,68.2,51.0,3.0,1233.0,6264.0,3682.0,163.0,47.0,22.0,1378.0,1165.0,84.5,34.0,31.0,0.0,26.0,22.0,11.0,0.0,1.0,0.0,237.0,43.0,35.0,55.1
