Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Tottenham,3,3,0,0,3,0,3,9,3.7,3.9,-0.2,-0.05,W W W,57967,Son Heung-min - 2,Hugo Lloris,
2,West Ham,3,2,1,0,10,5,5,7,6.0,2.9,3.1,1.03,W W D,59826,Michail Antonio - 4,Łukasz Fabiański,
3,Manchester Utd,3,2,1,0,7,2,5,7,3.6,3.2,0.3,0.11,W D W,72732,"Mason Greenwood, Bruno Fernandes - 3",David de Gea,
4,Chelsea,3,2,1,0,6,1,5,7,4.6,3.3,1.3,0.45,W W D,38965,"Trevoh Chalobah, Reece James... - 1",Edouard Mendy,
5,Liverpool,3,2,1,0,6,1,5,7,7.6,2.9,4.7,1.56,W W D,53296,"Mohamed Salah, Diogo Jota - 2",Alisson,
6,Everton,3,2,1,0,7,3,4,7,6.1,3.2,2.9,0.97,W D W,38487,Dominic Calvert-Lewin - 3,Jordan Pickford,
7,Manchester City,3,2,0,1,10,1,9,6,8.4,1.5,6.9,2.3,L W W,51857,Ferrán Torres - 2,Ederson,
8,Brighton,3,2,0,1,4,3,1,6,3.7,3.5,0.2,0.06,W W L,30017,Neal Maupay - 2,Robert Sánchez,
9,Leicester City,3,2,0,1,4,5,-1,6,2.8,5.3,-2.4,-0.81,W L W,31983,Jamie Vardy - 2,Kasper Schmeichel,
10,Brentford,3,1,2,0,3,1,2,5,3.4,2.7,0.7,0.22,W D D,16479,"Christian Nørgaard, Ivan Toney... - 1",David Raya,
11,Aston Villa,3,1,1,1,5,4,1,4,2.8,3.1,-0.3,-0.11,L W D,42005,Danny Ings - 2,Emiliano Martínez,
12,Watford,3,1,0,2,3,5,-2,3,2.6,3.5,-0.9,-0.3,W L L,20051,"Cucho, Emmanuel Dennis... - 1",Daniel Bachmann,
13,Southampton,3,0,2,1,4,6,-2,2,5.1,5.3,-0.2,-0.07,L D D,32000,"Mohamed Elyounoussi, Adam Armstrong... - 1",Alex McCarthy,
14,Crystal Palace,3,0,2,1,2,5,-3,2,1.5,3.0,-1.4,-0.47,L D D,23091,Conor Gallagher - 2,Vicente Guaita,
15,Leeds United,3,0,2,1,4,8,-4,2,3.6,5.0,-1.4,-0.45,L D D,36293,"Raphael Dias Belloli, Luke Ayling... - 1",Illan Meslier,
16,Burnley,3,0,1,2,2,5,-3,1,3.3,5.7,-2.4,-0.8,L L D,18455,"Chris Wood, James Tarkowski - 1",Nick Pope,
17,Newcastle Utd,3,0,1,2,4,8,-4,1,3.6,6.9,-3.3,-1.1,L L D,47345,Callum Wilson - 2,Freddie Woodman,
18,Wolves,3,0,0,3,0,3,-3,0,4.3,2.9,1.4,0.46,L L L,30495,,José Sá,
19,Norwich City,3,0,0,3,1,10,-9,0,3.1,6.0,-2.9,-0.96,L L L,26894,Teemu Pukki - 1,Tim Krul,
20,Arsenal,3,0,0,3,0,9,-9,0,1.9,8.0,-6.1,-2.03,L L L,58729,,Bernd Leno,
