,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Fri,2021-08-13,20:00,Brentford,1.3,2–0,1.5,Arsenal,16479.0,Brentford Community Stadium,Michael Oliver,Match Report,
1,1.0,Sat,2021-08-14,12:30,Manchester Utd,1.5,5–1,0.6,Leeds United,72732.0,Old Trafford,Paul Tierney,Match Report,
2,1.0,Sat,2021-08-14,15:00,Leicester City,0.8,1–0,1.1,Wolves,31983.0,King Power Stadium,Craig Pawson,Match Report,
3,1.0,Sat,2021-08-14,15:00,Burnley,1.1,1–2,1.2,Brighton,16910.0,Turf Moor,David Coote,Match Report,
4,1.0,Sat,2021-08-14,15:00,Watford,1.2,3–2,1.1,Aston Villa,20051.0,Vicarage Road Stadium,Mike Dean,Match Report,
5,1.0,Sat,2021-08-14,15:00,Chelsea,0.9,3–0,0.3,Crystal Palace,38965.0,Stamford Bridge,Jonathan Moss,Match Report,
6,1.0,Sat,2021-08-14,15:00,Everton,2.4,3–1,0.7,Southampton,38487.0,Goodison Park,Andy Madley,Match Report,
7,1.0,Sat,2021-08-14,17:30,Norwich City,1.4,0–3,2.0,Liverpool,27023.0,Carrow Road,Andre Marriner,Match Report,
8,1.0,Sun,2021-08-15,14:00,Newcastle Utd,1.4,2–4,2.2,West Ham,50673.0,St. James' Park,Martin Atkinson,Match Report,
9,1.0,Sun,2021-08-15,16:30,Tottenham,1.3,1–0,1.9,Manchester City,58262.0,Tottenham Hotspur Stadium,Anthony Taylor,Match Report,
11,2.0,Sat,2021-08-21,12:30,Liverpool,2.9,2–0,0.7,Burnley,52591.0,Anfield,Mike Dean,Match Report,
12,2.0,Sat,2021-08-21,15:00,Aston Villa,1.1,2–0,0.7,Newcastle Utd,41964.0,Villa Park,David Coote,Match Report,
13,2.0,Sat,2021-08-21,15:00,Manchester City,2.7,5–0,0.1,Norwich City,51437.0,Etihad Stadium,Graham Scott,Match Report,
14,2.0,Sat,2021-08-21,15:00,Crystal Palace,0.6,0–0,0.9,Brentford,23091.0,Selhurst Park,Martin Atkinson,Match Report,
15,2.0,Sat,2021-08-21,15:00,Leeds United,1.5,2–2,2.1,Everton,,Elland Road,Darren England,Match Report,
16,2.0,Sat,2021-08-21,17:30,Brighton,1.5,2–0,0.8,Watford,29485.0,The Lamex Stadium,Anthony Taylor,Match Report,
17,2.0,Sun,2021-08-22,14:00,Southampton,0.8,1–1,1.5,Manchester Utd,,St. Mary's Stadium,Craig Pawson,Match Report,
18,2.0,Sun,2021-08-22,14:00,Wolves,1.4,0–1,1.5,Tottenham,,Molineux Stadium,Stuart Attwell,Match Report,
19,2.0,Sun,2021-08-22,16:30,Arsenal,0.3,0–2,2.9,Chelsea,58729.0,Emirates Stadium,Paul Tierney,Match Report,
20,2.0,Mon,2021-08-23,20:00,West Ham,2.5,4–1,0.8,Leicester City,,London Stadium,Michael Oliver,Match Report,
