player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Max Aarons,ENG,DF,Norwich City,21,2000,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,85.0,100.0,85.0,1417.0,352.0,41.0,44.0,93.2,39.0,41.0,95.1,4.0,11.0,36.4,0.0,1.0,1.0,1.0,0.0,3.0,82.0,18.0,2.0,0.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,73.0,13.0,14.0,15.0,68.0,0.0,16.0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,14.0,4.0,28.6,8.0,4.0,2.0,6.0,3.0,0.0,3.0,5.0,4.0,0.0,125.0,13.0,59.0,54.0,20.0,1.0,107.0,5.0,6.0,83.3,5.0,0.0,78.0,448.0,297.0,11.0,2.0,1.0,93.0,82.0,88.2,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,14.3
Che Adams,SCO,FW,Southampton,25,1996,2.0,2.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.3,0.3,0.8,0.14,0.4,0.54,0.14,0.54,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14,-0.3,-0.3,24.0,43.0,55.8,443.0,88.0,10.0,15.0,66.7,10.0,17.0,58.8,3.0,6.0,50.0,0.2,3.0,1.0,2.0,1.0,3.0,40.0,3.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,7.0,10.0,0.0,33.0,2.0,0.0,0.0,0.0,2.0,6.0,1.0,8.0,4.0,3.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,47.0,11.0,23.4,6.0,16.0,25.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,74.0,6.0,11.0,33.0,31.0,5.0,71.0,1.0,2.0,50.0,1.0,0.0,40.0,128.0,70.0,2.0,1.0,0.0,109.0,43.0,39.4,5.0,7.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,16.0,9.0,17.0,34.6
Rayan Aït Nouri,FRA,FW,Wolves,20,2001,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,0.1,1.0,0.0,0.0,0.0,12.86,0.0,0.0,0.0,0.03,0.0,0.0,2.0,3.0,66.7,30.0,12.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,1.0,100.0,1.0,0.0,5.0,103.0,85.0,2.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Kristoffer Ajer,NOR,DF,Brentford,23,1998,2.0,2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.05,0.16,0.21,0.05,0.21,1.8,1.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.08,-0.1,-0.1,46.0,72.0,63.9,789.0,327.0,21.0,23.0,91.3,19.0,29.0,65.5,4.0,13.0,30.8,-0.3,1.0,2.0,0.0,0.0,2.0,58.0,14.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,22.0,4.0,40.0,10.0,12.0,1.0,0.0,1.0,2.0,5.0,2.0,1.13,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,18.0,6.0,33.3,8.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,84.0,4.0,33.0,38.0,14.0,2.0,71.0,2.0,2.0,100.0,2.0,0.0,37.0,148.0,73.0,3.0,1.0,0.0,41.0,34.0,82.9,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,6.0,2.0,75.0
Nathan Aké,NED,DF,Manchester City,26,1995,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,-0.2,-0.2,49.0,59.0,83.1,995.0,258.0,13.0,16.0,81.3,30.0,34.0,88.2,6.0,9.0,66.7,0.0,0.0,2.0,0.0,0.0,2.0,59.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,10.0,37.0,16.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,68.0,5.0,33.0,39.0,1.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,44.0,317.0,220.0,5.0,0.0,0.0,52.0,49.0,94.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,100.0
Thiago Alcántara,ESP,MF,Liverpool,30,1991,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.37,0.37,0.1,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.04,0.0,0.0,13.0,15.0,86.7,292.0,36.0,5.0,7.0,71.4,6.0,6.0,100.0,2.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,1.0,4.0,10.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,11.0,67.0,48.0,3.0,1.0,0.0,12.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Trent Alexander-Arnold,ENG,DF,Liverpool,22,1998,2.0,2.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.1,0.1,1.4,0.05,0.68,0.73,0.05,0.73,2.0,3.0,1.0,1.0,33.3,1.5,0.5,0.0,0.0,0.03,-0.1,-0.1,108.0,140.0,77.1,2243.0,1083.0,44.0,49.0,89.8,38.0,45.0,84.4,25.0,44.0,56.8,-0.4,10.0,8.0,10.0,3.0,16.0,106.0,34.0,3.0,2.0,14.0,11.0,13.0,8.0,1.0,5.0,1.0,60.0,29.0,51.0,11.0,101.0,3.0,23.0,0.0,0.0,2.0,9.0,2.0,15.0,7.5,10.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,2.0,8.0,25.0,6.0,29.0,10.0,34.5,14.0,6.0,9.0,4.0,1.0,0.0,3.0,6.0,5.0,0.0,164.0,7.0,43.0,56.0,71.0,7.0,129.0,3.0,7.0,42.9,3.0,0.0,89.0,433.0,270.0,11.0,2.0,2.0,100.0,92.0,92.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,2.0,66.7
Alisson,BRA,GK,Liverpool,28,1992,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,76.0,85.5,1845.0,1119.0,10.0,10.0,100.0,37.0,37.0,100.0,18.0,29.0,62.1,0.0,0.0,0.0,0.0,0.0,0.0,59.0,17.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,21.0,5.0,61.0,0.0,0.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,71.0,84.0,2.0,0.0,0.0,69.0,1.0,1.0,100.0,1.0,0.0,45.0,132.0,87.0,0.0,0.0,0.0,41.0,41.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Allan,BRA,MF,Everton,30,1991,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,2.0,1.0,1.0,0.0,100.0,0.5,0.5,0.0,0.0,0.02,0.0,0.0,40.0,55.0,72.7,737.0,250.0,14.0,20.0,70.0,19.0,22.0,86.4,4.0,8.0,50.0,0.0,1.0,6.0,0.0,0.0,8.0,49.0,6.0,5.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,4.0,11.0,6.0,48.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,2.0,0.0,3.0,8.0,37.5,5.0,45.0,21.0,46.7,21.0,21.0,3.0,3.0,2.0,0.0,1.0,1.0,8.0,0.0,80.0,7.0,33.0,40.0,17.0,0.0,74.0,3.0,4.0,75.0,3.0,0.0,48.0,352.0,249.0,6.0,4.0,0.0,29.0,27.0,93.1,1.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,2.0,0.0
Dele Alli,ENG,MF,Tottenham,25,1996,2.0,2.0,180.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.8,0.0,0.0,0.38,0.0,0.38,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,42.0,53.0,79.2,702.0,237.0,21.0,24.0,87.5,17.0,19.0,89.5,3.0,6.0,50.0,0.0,0.0,4.0,3.0,0.0,7.0,52.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,5.0,7.0,7.0,42.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,4.0,1.0,1.0,1.0,6.0,16.7,5.0,51.0,17.0,33.3,30.0,17.0,4.0,9.0,3.0,0.0,6.0,4.0,3.0,0.0,88.0,7.0,28.0,45.0,20.0,4.0,87.0,1.0,7.0,14.3,2.0,1.0,49.0,173.0,91.0,4.0,1.0,0.0,69.0,50.0,72.5,2.0,6.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,16.0,1.0,2.0,33.3
