squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,17.0,50.0,2.0,22.0,180.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,1.7,0.91,0.87,1.78,0.91,1.78,2.0,2.0,180.0,4.0,2.0,8.0,3.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.1,0.26,-1.9,-0.95,3.0,16.0,18.8,41.0,8.0,24.4,30.6,15.0,40.0,33.7,14.0,2.0,14.3,1.0,0.5,13.3,28.0,7.0,1.0,25.0,14.0,3.5,0.0,0.0,0.07,-1.8,-1.8,808.0,960.0,84.2,14788.0,4534.0,348.0,380.0,91.6,341.0,382.0,89.3,100.0,165.0,60.6,-1.7,25.0,57.0,27.0,6.0,73.0,870.0,90.0,16.0,4.0,131.0,26.0,21.0,14.0,3.0,7.0,1.0,664.0,131.0,165.0,406.0,442.0,42.0,39.0,11.0,5.0,7.0,18.0,19.0,51.0,25.5,42.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15.0,10.0,9.0,8.0,10.0,27.0,37.0,17.0,312.0,70.0,22.4,89.0,111.0,112.0,41.0,11.0,0.0,30.0,35.0,33.0,2.0,1208.0,127.0,352.0,543.0,411.0,61.0,1121.0,22.0,39.0,56.4,25.0,0.0,797.0,4210.0,2205.0,93.0,34.0,10.0,905.0,808.0,89.3,28.0,26.0,0.0,18.0,15.0,6.0,0.0,0.0,0.0,135.0,37.0,36.0,50.7
Aston Villa,18.0,54.5,2.0,22.0,180.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0,1.0,2.0,2.2,0.8,0.6,1.08,0.3,1.38,0.39,0.68,2.0,2.0,180.0,3.0,1.5,8.0,5.0,62.5,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.15,-1.8,-0.92,11.0,21.0,52.4,39.0,9.0,25.6,32.8,17.0,64.7,48.8,18.0,1.0,5.6,3.0,1.5,18.1,19.0,2.0,1.0,10.5,9.5,1.0,0.11,1.0,0.04,1.8,1.2,689.0,867.0,79.5,14812.0,4959.0,228.0,264.0,86.4,330.0,374.0,88.2,125.0,210.0,59.5,1.4,13.0,63.0,16.0,3.0,74.0,767.0,100.0,35.0,1.0,84.0,42.0,26.0,7.0,5.0,2.0,0.0,565.0,104.0,198.0,284.0,465.0,40.0,36.0,16.0,5.0,18.0,19.0,16.0,33.0,16.5,20.0,5.0,3.0,2.0,3.0,3.0,7.0,3.5,3.0,1.0,1.0,1.0,1.0,1.0,28.0,15.0,12.0,13.0,3.0,11.0,35.0,31.4,24.0,219.0,57.0,26.0,79.0,83.0,57.0,14.0,5.0,0.0,9.0,25.0,38.0,0.0,1076.0,99.0,342.0,521.0,287.0,47.0,977.0,17.0,29.0,58.6,20.0,2.0,640.0,2950.0,1652.0,68.0,22.0,8.0,834.0,689.0,82.6,30.0,17.0,0.0,21.0,34.0,5.0,1.0,0.0,0.0,154.0,34.0,36.0,48.6
Brentford,16.0,41.0,2.0,22.0,180.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,1.5,1.0,1.5,2.2,2.2,1.6,1.1,0.78,1.88,1.1,1.88,2.0,2.0,180.0,0.0,0.0,6.0,6.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6,0.1,0.6,0.3,14.0,59.0,23.7,74.0,11.0,51.4,41.5,22.0,95.5,67.0,17.0,1.0,5.9,1.0,0.5,13.5,22.0,6.0,1.0,27.3,11.0,3.0,0.09,0.33,0.1,-0.2,-0.2,493.0,728.0,67.7,9792.0,3823.0,212.0,258.0,82.2,191.0,242.0,78.9,80.0,188.0,42.6,-0.6,17.0,45.0,14.0,2.0,49.0,638.0,90.0,21.0,2.0,88.0,18.0,15.0,7.0,5.0,0.0,1.0,375.0,111.0,242.0,239.0,342.0,50.0,38.0,21.0,3.0,28.0,28.0,32.0,37.0,18.5,26.0,5.0,2.0,2.0,2.0,2.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,51.0,34.0,26.0,19.0,6.0,16.0,40.0,40.0,24.0,330.0,114.0,34.5,135.0,135.0,60.0,23.0,5.0,0.0,18.0,22.0,39.0,0.0,952.0,156.0,389.0,378.0,228.0,33.0,864.0,15.0,24.0,62.5,17.0,2.0,511.0,2134.0,1077.0,36.0,15.0,4.0,669.0,493.0,73.7,24.0,22.0,0.0,21.0,17.0,3.0,0.0,0.0,0.0,188.0,36.0,42.0,46.2
Brighton,15.0,60.5,2.0,22.0,180.0,4.0,4.0,0.0,0.0,5.0,0.0,2.0,2.0,4.0,2.0,4.0,2.7,2.7,1.7,1.35,0.87,2.22,1.35,2.22,2.0,2.0,180.0,1.0,0.5,5.0,4.0,80.0,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.1,0.22,0.1,0.05,8.0,40.0,20.0,80.0,12.0,37.5,37.2,16.0,62.5,49.8,31.0,7.0,22.6,1.0,0.5,13.3,27.0,9.0,1.0,33.3,13.5,4.5,0.15,0.44,0.1,1.3,1.3,975.0,1172.0,83.2,19156.0,5334.0,349.0,382.0,91.4,490.0,542.0,90.4,120.0,203.0,59.1,2.3,21.0,46.0,17.0,3.0,59.0,1086.0,86.0,17.0,0.0,148.0,35.0,24.0,13.0,4.0,7.0,0.0,895.0,101.0,176.0,226.0,839.0,29.0,37.0,16.0,0.0,19.0,29.0,25.0,44.0,22.0,29.0,7.0,2.0,4.0,2.0,2.0,7.0,3.5,5.0,1.0,0.0,0.0,1.0,1.0,36.0,17.0,24.0,5.0,7.0,8.0,25.0,32.0,17.0,255.0,86.0,33.7,102.0,77.0,76.0,33.0,7.0,0.0,26.0,17.0,54.0,0.0,1399.0,172.0,608.0,541.0,324.0,55.0,1315.0,7.0,10.0,70.0,8.0,0.0,929.0,4299.0,2470.0,95.0,27.0,9.0,1115.0,975.0,87.4,18.0,27.0,0.0,18.0,16.0,1.0,0.0,0.0,0.0,163.0,38.0,48.0,44.2
Burnley,15.0,34.5,2.0,22.0,180.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,1.0,0.5,1.0,1.9,1.9,1.4,0.93,0.68,1.61,0.93,1.61,2.0,2.0,180.0,4.0,2.0,14.0,10.0,71.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.8,0.27,-0.2,-0.08,15.0,42.0,35.7,41.0,8.0,65.9,53.2,17.0,88.2,67.2,16.0,2.0,12.5,2.0,1.0,16.5,23.0,7.0,1.0,30.4,11.5,3.5,0.04,0.14,0.08,-0.9,-0.9,416.0,622.0,66.9,9045.0,3817.0,174.0,214.0,81.3,141.0,183.0,77.0,91.0,198.0,46.0,-0.4,17.0,45.0,13.0,7.0,39.0,522.0,100.0,15.0,3.0,122.0,25.0,35.0,11.0,11.0,0.0,0.0,285.0,111.0,226.0,211.0,273.0,35.0,51.0,12.0,7.0,13.0,12.0,21.0,36.0,18.0,25.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,14.0,14.0,13.0,4.0,8.0,22.0,36.4,14.0,204.0,50.0,24.5,67.0,92.0,45.0,39.0,15.0,3.0,24.0,28.0,53.0,0.0,843.0,115.0,267.0,335.0,287.0,28.0,744.0,21.0,29.0,72.4,23.0,0.0,433.0,2567.0,1172.0,53.0,20.0,3.0,568.0,416.0,73.2,15.0,22.0,0.0,22.0,13.0,8.0,0.0,0.0,0.0,149.0,54.0,49.0,52.4
Chelsea,17.0,64.0,2.0,22.0,180.0,5.0,3.0,0.0,0.0,0.0,0.0,2.5,1.5,4.0,2.5,4.0,3.8,3.8,3.0,1.89,1.48,3.36,1.89,3.36,2.0,2.0,180.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.03,0.1,0.06,3.0,10.0,30.0,55.0,5.0,18.2,25.4,8.0,0.0,11.5,7.0,0.0,0.0,1.0,0.5,17.2,35.0,11.0,4.0,31.4,17.5,5.5,0.14,0.45,0.11,1.2,1.2,1234.0,1380.0,89.4,22014.0,6211.0,551.0,586.0,94.0,517.0,556.0,93.0,131.0,182.0,72.0,0.0,24.0,92.0,37.0,7.0,94.0,1295.0,85.0,23.0,9.0,164.0,27.0,30.0,13.0,10.0,0.0,0.0,1111.0,132.0,137.0,258.0,1041.0,16.0,38.0,10.0,1.0,9.0,26.0,23.0,57.0,28.5,49.0,1.0,1.0,0.0,5.0,5.0,10.0,5.0,8.0,0.0,0.0,0.0,2.0,2.0,35.0,20.0,13.0,11.0,11.0,14.0,33.0,42.4,19.0,319.0,101.0,31.7,87.0,142.0,90.0,18.0,2.0,0.0,16.0,39.0,29.0,0.0,1581.0,141.0,467.0,713.0,505.0,77.0,1495.0,15.0,27.0,55.6,18.0,0.0,1148.0,5030.0,2483.0,120.0,39.0,10.0,1340.0,1234.0,92.1,15.0,18.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0,114.0,28.0,28.0,50.0
Crystal Palace,15.0,45.5,2.0,22.0,180.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.43,0.43,0.86,0.43,0.86,2.0,2.0,180.0,3.0,1.5,9.0,6.0,66.7,0.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.6,0.29,-0.4,-0.21,13.0,33.0,39.4,60.0,10.0,40.0,36.6,19.0,47.4,31.2,16.0,2.0,12.5,0.0,0.0,10.6,11.0,3.0,0.0,27.3,5.5,1.5,0.0,0.0,0.08,-0.9,-0.9,726.0,903.0,80.4,14217.0,4550.0,291.0,338.0,86.1,311.0,357.0,87.1,109.0,178.0,61.2,-0.9,10.0,30.0,13.0,4.0,39.0,803.0,100.0,27.0,0.0,133.0,26.0,11.0,5.0,2.0,2.0,0.0,580.0,148.0,175.0,206.0,570.0,37.0,44.0,17.0,2.0,15.0,38.0,15.0,19.0,9.5,15.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,17.0,15.0,11.0,3.0,6.0,24.0,25.0,18.0,254.0,60.0,23.6,109.0,102.0,43.0,32.0,7.0,0.0,25.0,25.0,36.0,0.0,1141.0,177.0,486.0,521.0,194.0,26.0,1044.0,18.0,34.0,52.9,18.0,2.0,739.0,3246.0,1594.0,45.0,18.0,2.0,871.0,726.0,83.4,38.0,30.0,0.0,23.0,22.0,2.0,0.0,0.0,0.0,157.0,33.0,28.0,54.1
Everton,16.0,39.0,2.0,22.0,180.0,5.0,4.0,1.0,1.0,6.0,0.0,2.5,2.0,4.5,2.0,4.0,4.5,3.8,3.2,2.26,1.6,3.86,1.89,3.49,2.0,2.0,180.0,3.0,1.5,7.0,4.0,57.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.5,0.35,-0.5,-0.27,15.0,53.0,28.3,49.0,8.0,75.5,52.2,17.0,94.1,71.8,19.0,1.0,5.3,1.0,0.5,12.4,30.0,13.0,1.0,43.3,15.0,6.5,0.13,0.31,0.13,0.5,0.2,460.0,662.0,69.5,9755.0,3839.0,174.0,205.0,84.9,187.0,228.0,82.0,83.0,184.0,45.1,0.8,24.0,39.0,16.0,6.0,57.0,562.0,100.0,19.0,3.0,160.0,18.0,20.0,11.0,1.0,10.0,0.0,349.0,101.0,212.0,192.0,352.0,37.0,48.0,12.0,0.0,25.0,26.0,23.0,48.0,24.0,39.0,4.0,0.0,3.0,2.0,2.0,8.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,40.0,25.0,23.0,13.0,4.0,20.0,45.0,44.4,25.0,273.0,94.0,34.4,112.0,118.0,43.0,26.0,9.0,0.0,17.0,34.0,72.0,1.0,942.0,153.0,381.0,347.0,268.0,44.0,845.0,16.0,31.0,51.6,18.0,1.0,513.0,2898.0,1493.0,50.0,16.0,6.0,617.0,460.0,74.6,23.0,28.0,0.0,26.0,20.0,0.0,1.0,0.0,0.0,169.0,38.0,38.0,50.0
Leeds United,16.0,60.5,2.0,22.0,180.0,3.0,3.0,0.0,0.0,4.0,0.0,1.5,1.5,3.0,1.5,3.0,2.1,2.1,1.6,1.06,0.78,1.83,1.06,1.83,2.0,2.0,180.0,7.0,3.5,15.0,9.0,60.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.9,0.27,-2.1,-1.05,10.0,26.0,38.5,58.0,16.0,32.8,30.2,18.0,38.9,34.7,7.0,0.0,0.0,3.0,1.5,18.9,28.0,7.0,0.0,25.0,14.0,3.5,0.11,0.43,0.08,0.9,0.9,903.0,1086.0,83.1,17959.0,5495.0,344.0,390.0,88.2,411.0,443.0,92.8,136.0,222.0,61.3,1.4,20.0,52.0,15.0,6.0,74.0,982.0,104.0,26.0,0.0,173.0,35.0,25.0,12.0,8.0,1.0,0.0,767.0,151.0,168.0,521.0,460.0,37.0,39.0,20.0,2.0,18.0,40.0,19.0,37.0,18.5,25.0,6.0,1.0,2.0,3.0,3.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,41.0,22.0,23.0,16.0,2.0,18.0,45.0,40.0,27.0,375.0,107.0,28.5,126.0,176.0,73.0,28.0,8.0,0.0,20.0,39.0,44.0,0.0,1334.0,149.0,523.0,586.0,305.0,37.0,1237.0,15.0,29.0,51.7,16.0,1.0,870.0,4216.0,2303.0,85.0,23.0,6.0,1063.0,903.0,84.9,30.0,17.0,0.0,15.0,22.0,3.0,0.0,1.0,0.0,148.0,24.0,28.0,46.2
Leicester City,15.0,51.5,2.0,22.0,180.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.5,1.5,1.0,1.5,1.5,1.5,0.9,0.77,0.46,1.23,0.77,1.23,2.0,2.0,180.0,4.0,2.0,10.0,6.0,60.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.7,0.37,-0.3,-0.16,11.0,23.0,47.8,56.0,8.0,32.1,34.8,19.0,26.3,30.1,23.0,3.0,13.0,2.0,1.0,15.3,14.0,6.0,0.0,42.9,7.0,3.0,0.14,0.33,0.12,0.5,0.5,945.0,1100.0,85.9,18094.0,5060.0,318.0,353.0,90.1,517.0,561.0,92.2,98.0,160.0,61.3,0.1,11.0,33.0,13.0,1.0,54.0,1005.0,95.0,24.0,1.0,143.0,13.0,10.0,5.0,0.0,3.0,0.0,848.0,129.0,123.0,247.0,766.0,18.0,41.0,11.0,4.0,13.0,27.0,11.0,24.0,12.0,22.0,0.0,1.0,1.0,0.0,0.0,3.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,35.0,23.0,15.0,18.0,2.0,13.0,43.0,30.2,30.0,244.0,63.0,25.8,92.0,103.0,49.0,34.0,9.0,0.0,25.0,23.0,55.0,1.0,1336.0,154.0,516.0,683.0,214.0,27.0,1242.0,10.0,21.0,47.6,11.0,1.0,929.0,3746.0,2061.0,71.0,22.0,6.0,1088.0,945.0,86.9,19.0,32.0,0.0,14.0,18.0,5.0,0.0,0.0,0.0,128.0,23.0,27.0,46.0
