Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Manchester Utd,1,1,0,0,5,1,4,3,1.5,0.6,0.8,0.84,W,72732.0,Bruno Fernandes - 3,David de Gea,
2,Chelsea,1,1,0,0,3,0,3,3,0.9,0.3,0.6,0.57,W,38965.0,"Trevoh Chalobah, Marcos Alonso... - 1",Edouard Mendy,
3,Liverpool,1,1,0,0,3,0,3,3,2.0,1.4,0.6,0.61,W,,"Diogo Jota, Roberto Firmino... - 1",Alisson,
4,West Ham,1,1,0,0,4,2,2,3,2.2,1.4,0.8,0.79,W,,"Aaron Cresswell, Tomáš Souček... - 1",Łukasz Fabiański,
5,Everton,1,1,0,0,3,1,2,3,2.4,0.7,1.7,1.69,W,,"Abdoulaye Doucouré, Richarlison... - 1",Jordan Pickford,
6,Brentford,1,1,0,0,2,0,2,3,1.3,1.5,-0.2,-0.21,W,16479.0,"Sergi Canós, Christian Nørgaard - 1",David Raya,
7,Watford,1,1,0,0,3,2,1,3,1.2,1.1,0.1,0.13,W,20051.0,"Ismaila Sarr, Cucho... - 1",Daniel Bachmann,
8,Brighton,1,1,0,0,2,1,1,3,1.2,1.1,0.1,0.08,W,,"Alexis Mac Allister, Neal Maupay - 1",Robert Sánchez,
9,Leicester City,1,1,0,0,1,0,1,3,0.8,1.1,-0.3,-0.33,W,31983.0,Jamie Vardy - 1,Kasper Schmeichel,
10,Tottenham,1,1,0,0,1,0,1,3,1.3,1.9,-0.6,-0.61,W,58262.0,Son Heung-min - 1,Hugo Lloris,
11,Aston Villa,1,0,0,1,2,3,-1,0,1.1,1.2,-0.1,-0.13,L,,"John McGinn, Danny Ings - 1",Emiliano Martínez,
12,Burnley,1,0,0,1,1,2,-1,0,1.1,1.2,-0.1,-0.08,L,,James Tarkowski - 1,Nick Pope,
13,Manchester City,1,0,0,1,0,1,-1,0,1.9,1.3,0.6,0.61,L,,,Ederson,
14,Wolves,1,0,0,1,0,1,-1,0,1.1,0.8,0.3,0.33,L,,,José Sá,
15,Newcastle Utd,1,0,0,1,2,4,-2,0,1.4,2.2,-0.8,-0.79,L,50673.0,"Jacob Murphy, Callum Wilson - 1",Freddie Woodman,
16,Southampton,1,0,0,1,1,3,-2,0,0.7,2.4,-1.7,-1.69,L,,Adam Armstrong - 1,Alex McCarthy,
17,Arsenal,1,0,0,1,0,2,-2,0,1.5,1.3,0.2,0.21,L,,,Bernd Leno,
18,Crystal Palace,1,0,0,1,0,3,-3,0,0.3,0.9,-0.6,-0.57,L,,,Vicente Guaita,
19,Norwich City,1,0,0,1,0,3,-3,0,1.4,2.0,-0.6,-0.61,L,27023.0,,Tim Krul,
20,Leeds United,1,0,0,1,1,5,-4,0,0.6,1.5,-0.8,-0.84,L,,Luke Ayling - 1,Illan Meslier,
