,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Fri,2021-08-13,20:00,Brentford,1.3,2–0,1.5,Arsenal,16479.0,Brentford Community Stadium,Michael Oliver,Match Report,
1,1.0,Sat,2021-08-14,12:30,Manchester Utd,1.5,5–1,0.6,Leeds United,72732.0,Old Trafford,Paul Tierney,Match Report,
2,1.0,Sat,2021-08-14,15:00,Leicester City,0.8,1–0,1.1,Wolves,31983.0,King Power Stadium,Craig Pawson,Match Report,
3,1.0,Sat,2021-08-14,15:00,Burnley,1.1,1–2,1.2,Brighton,,Turf Moor,David Coote,Match Report,
4,1.0,Sat,2021-08-14,15:00,Watford,1.2,3–2,1.1,Aston Villa,20051.0,Vicarage Road Stadium,Mike Dean,Match Report,
5,1.0,Sat,2021-08-14,15:00,Chelsea,0.9,3–0,0.3,Crystal Palace,38965.0,Stamford Bridge,Jonathan Moss,Match Report,
6,1.0,Sat,2021-08-14,15:00,Everton,2.4,3–1,0.7,Southampton,,Goodison Park,Andy Madley,Match Report,
7,1.0,Sat,2021-08-14,17:30,Norwich City,1.4,0–3,2.0,Liverpool,27023.0,Carrow Road,Andre Marriner,Match Report,
8,1.0,Sun,2021-08-15,14:00,Newcastle Utd,1.4,2–4,2.2,West Ham,50673.0,St. James' Park,Martin Atkinson,Match Report,
9,1.0,Sun,2021-08-15,16:30,Tottenham,1.3,1–0,1.9,Manchester City,58262.0,Tottenham Hotspur Stadium,Anthony Taylor,Match Report,
