squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,14.0,65.0,1.0,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.51,1.45,2.97,1.51,2.97,1.0,1.0,90.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8,0.28,-1.2,-1.17,3.0,9.0,33.3,26.0,3.0,19.2,28.8,8.0,50.0,36.3,6.0,0.0,0.0,0.0,0.0,5.5,22.0,4.0,1.0,18.2,22.0,4.0,0.0,0.0,0.07,-1.5,-1.5,527.0,603.0,87.4,9823.0,2816.0,214.0,232.0,92.2,236.0,257.0,91.8,68.0,97.0,70.1,-1.5,20.0,37.0,19.0,6.0,51.0,549.0,54.0,12.0,4.0,75.0,12.0,16.0,5.0,1.0,2.0,0.0,433.0,87.0,83.0,256.0,280.0,23.0,26.0,5.0,1.0,5.0,5.0,9.0,42.0,42.0,35.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,3.0,4.0,3.0,3.0,12.0,25.0,9.0,110.0,39.0,35.5,27.0,40.0,43.0,17.0,0.0,0.0,17.0,18.0,17.0,2.0,738.0,58.0,189.0,357.0,258.0,43.0,685.0,13.0,24.0,54.2,16.0,0.0,534.0,2874.0,1475.0,69.0,23.0,8.0,570.0,527.0,92.5,19.0,17.0,0.0,8.0,12.0,1.0,0.0,0.0,0.0,77.0,25.0,16.0,61.0
Aston Villa,14.0,62.0,1.0,11.0,90.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.1,0.3,0.2,1.08,0.16,1.24,0.32,0.48,1.0,1.0,90.0,3.0,3.0,7.0,4.0,57.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1,0.16,-1.9,-1.86,6.0,9.0,66.7,26.0,9.0,23.1,28.8,7.0,42.9,42.9,4.0,0.0,0.0,1.0,1.0,15.7,10.0,1.0,1.0,10.0,10.0,1.0,0.1,1.0,0.03,0.9,0.7,435.0,534.0,81.5,9228.0,2984.0,142.0,163.0,87.1,216.0,240.0,90.0,74.0,123.0,60.2,0.8,5.0,38.0,8.0,1.0,40.0,482.0,52.0,16.0,1.0,42.0,22.0,17.0,4.0,3.0,1.0,0.0,366.0,65.0,103.0,200.0,268.0,20.0,21.0,14.0,2.0,4.0,12.0,7.0,16.0,16.0,9.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,17.0,10.0,7.0,7.0,3.0,5.0,19.0,26.3,14.0,106.0,26.0,24.5,31.0,44.0,31.0,9.0,4.0,0.0,5.0,14.0,17.0,0.0,643.0,53.0,198.0,332.0,158.0,23.0,592.0,15.0,20.0,75.0,17.0,2.0,418.0,1793.0,1021.0,44.0,14.0,5.0,523.0,435.0,83.2,14.0,10.0,0.0,13.0,18.0,2.0,1.0,0.0,0.0,81.0,16.0,18.0,47.1
Brentford,14.0,35.0,1.0,11.0,90.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,1.3,1.3,0.8,1.3,0.76,2.06,1.3,2.06,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.09,0.4,0.38,10.0,37.0,27.0,35.0,5.0,60.0,45.6,16.0,100.0,68.8,10.0,0.0,0.0,0.0,0.0,12.1,8.0,3.0,0.0,37.5,8.0,3.0,0.25,0.67,0.16,0.7,0.7,206.0,322.0,64.0,4311.0,1819.0,80.0,103.0,77.7,79.0,100.0,79.0,43.0,99.0,43.4,0.2,6.0,19.0,7.0,0.0,23.0,275.0,47.0,9.0,2.0,41.0,6.0,8.0,2.0,1.0,0.0,1.0,151.0,50.0,121.0,106.0,140.0,30.0,19.0,9.0,1.0,11.0,18.0,17.0,13.0,13.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,19.0,16.0,7.0,2.0,8.0,24.0,33.3,16.0,177.0,51.0,28.8,79.0,64.0,34.0,14.0,5.0,0.0,9.0,7.0,21.0,0.0,429.0,86.0,201.0,158.0,97.0,19.0,383.0,8.0,12.0,66.7,9.0,0.0,232.0,1042.0,460.0,14.0,9.0,3.0,275.0,206.0,74.9,10.0,7.0,0.0,12.0,7.0,1.0,0.0,0.0,0.0,84.0,16.0,25.0,39.0
Brighton,14.0,64.0,1.0,11.0,90.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,2.0,4.0,1.2,1.2,1.1,1.22,1.09,2.31,1.22,2.31,1.0,1.0,90.0,1.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1,0.27,0.1,0.09,4.0,27.0,14.8,49.0,8.0,42.9,40.0,8.0,75.0,56.6,22.0,4.0,18.2,0.0,0.0,10.0,14.0,6.0,1.0,42.9,14.0,6.0,0.14,0.33,0.09,0.8,0.8,462.0,556.0,83.1,9243.0,2422.0,166.0,179.0,92.7,223.0,241.0,92.5,62.0,111.0,55.9,0.9,11.0,25.0,10.0,3.0,22.0,506.0,50.0,10.0,0.0,62.0,20.0,10.0,6.0,1.0,4.0,0.0,395.0,59.0,102.0,106.0,384.0,17.0,24.0,10.0,0.0,7.0,11.0,14.0,24.0,24.0,15.0,4.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,10.0,3.0,4.0,3.0,12.0,25.0,9.0,107.0,28.0,26.2,46.0,31.0,30.0,15.0,3.0,0.0,12.0,5.0,39.0,0.0,679.0,97.0,294.0,277.0,146.0,21.0,629.0,3.0,6.0,50.0,4.0,0.0,467.0,2195.0,1180.0,40.0,12.0,1.0,526.0,462.0,87.8,8.0,14.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,74.0,24.0,29.0,45.3
Burnley,14.0,36.0,1.0,11.0,90.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.1,1.1,0.6,1.15,0.65,1.8,1.15,1.8,1.0,1.0,90.0,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,0.2,-0.8,-0.82,4.0,8.0,50.0,17.0,7.0,35.3,38.4,4.0,50.0,45.0,8.0,0.0,0.0,0.0,0.0,15.5,14.0,4.0,1.0,28.6,14.0,4.0,0.07,0.25,0.08,-0.1,-0.1,210.0,306.0,68.6,4330.0,1801.0,90.0,106.0,84.9,75.0,90.0,83.3,39.0,92.0,42.4,0.4,9.0,20.0,7.0,3.0,24.0,262.0,44.0,6.0,2.0,55.0,15.0,24.0,7.0,7.0,0.0,0.0,154.0,55.0,97.0,111.0,133.0,14.0,24.0,8.0,1.0,6.0,5.0,12.0,20.0,20.0,16.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,8.0,6.0,9.0,1.0,2.0,6.0,33.3,4.0,115.0,24.0,20.9,35.0,51.0,29.0,20.0,6.0,1.0,14.0,11.0,31.0,0.0,424.0,43.0,135.0,164.0,151.0,12.0,380.0,8.0,12.0,66.7,9.0,0.0,222.0,1461.0,683.0,29.0,11.0,0.0,279.0,210.0,75.3,8.0,14.0,0.0,10.0,7.0,1.0,0.0,0.0,0.0,82.0,29.0,24.0,54.7
Chelsea,14.0,63.0,1.0,11.0,90.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,4.0,0.9,0.9,0.3,0.85,0.28,1.13,0.85,1.13,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.06,0.1,0.06,1.0,3.0,33.3,16.0,2.0,18.8,24.8,4.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,21.0,13.0,6.0,4.0,46.2,13.0,6.0,0.23,0.5,0.07,2.1,2.1,637.0,704.0,90.5,11733.0,2937.0,280.0,296.0,94.6,260.0,279.0,93.2,78.0,99.0,78.8,0.7,6.0,57.0,18.0,3.0,44.0,668.0,36.0,8.0,2.0,62.0,18.0,16.0,5.0,4.0,0.0,0.0,573.0,63.0,68.0,120.0,553.0,7.0,17.0,3.0,1.0,5.0,13.0,10.0,21.0,21.0,16.0,1.0,0.0,0.0,4.0,4.0,6.0,6.0,5.0,0.0,0.0,0.0,1.0,1.0,20.0,10.0,3.0,9.0,8.0,8.0,18.0,44.4,10.0,181.0,52.0,28.7,37.0,83.0,61.0,7.0,1.0,0.0,6.0,24.0,10.0,0.0,794.0,37.0,152.0,402.0,288.0,32.0,756.0,8.0,12.0,66.7,10.0,0.0,590.0,2856.0,1367.0,75.0,18.0,1.0,695.0,637.0,91.7,9.0,8.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,51.0,8.0,16.0,33.3
Crystal Palace,14.0,38.0,1.0,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.29,0.29,0.57,0.29,0.57,1.0,1.0,90.0,3.0,3.0,6.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.8,0.29,-1.2,-1.24,4.0,11.0,36.4,33.0,5.0,27.3,29.7,8.0,25.0,19.8,10.0,2.0,20.0,0.0,0.0,9.0,4.0,1.0,0.0,25.0,4.0,1.0,0.0,0.0,0.07,-0.3,-0.3,370.0,432.0,85.6,7070.0,1958.0,152.0,166.0,91.6,165.0,179.0,92.2,46.0,70.0,65.7,-0.3,4.0,14.0,3.0,1.0,12.0,388.0,44.0,16.0,0.0,80.0,15.0,4.0,2.0,1.0,1.0,0.0,308.0,70.0,54.0,113.0,279.0,10.0,14.0,5.0,1.0,9.0,23.0,6.0,7.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,8.0,2.0,0.0,2.0,12.0,16.7,10.0,146.0,22.0,15.1,68.0,61.0,17.0,13.0,3.0,0.0,10.0,15.0,20.0,0.0,539.0,101.0,260.0,236.0,74.0,12.0,497.0,10.0,18.0,55.6,10.0,0.0,380.0,1801.0,935.0,19.0,8.0,2.0,425.0,370.0,87.1,15.0,12.0,0.0,11.0,14.0,1.0,0.0,0.0,0.0,55.0,16.0,8.0,66.7
Everton,14.0,48.0,1.0,11.0,90.0,3.0,3.0,0.0,0.0,2.0,0.0,3.0,3.0,6.0,3.0,6.0,2.4,2.4,1.9,2.42,1.93,4.35,2.42,4.35,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,-0.02,10.0,26.0,38.5,31.0,5.0,74.2,50.6,4.0,75.0,59.0,10.0,0.0,0.0,1.0,1.0,12.6,14.0,6.0,1.0,42.9,14.0,6.0,0.21,0.5,0.18,0.6,0.6,264.0,375.0,70.4,5829.0,2077.0,91.0,105.0,86.7,109.0,134.0,81.3,52.0,110.0,47.3,1.1,10.0,23.0,9.0,5.0,31.0,321.0,54.0,14.0,2.0,78.0,12.0,15.0,6.0,1.0,5.0,0.0,191.0,63.0,121.0,95.0,206.0,26.0,28.0,7.0,0.0,14.0,8.0,12.0,23.0,23.0,21.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,13.0,7.0,2.0,11.0,27.0,40.7,16.0,116.0,34.0,29.3,50.0,51.0,15.0,11.0,2.0,0.0,9.0,11.0,39.0,1.0,527.0,77.0,195.0,203.0,151.0,22.0,476.0,10.0,19.0,52.6,12.0,1.0,295.0,1462.0,739.0,24.0,5.0,3.0,342.0,264.0,77.2,9.0,17.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0,103.0,21.0,20.0,51.2
Leeds United,14.0,51.0,1.0,11.0,90.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.6,0.6,0.6,0.63,0.56,1.2,0.63,1.2,1.0,1.0,90.0,5.0,5.0,8.0,3.0,37.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9,0.24,-3.1,-3.1,8.0,23.0,34.8,38.0,10.0,42.1,33.9,10.0,70.0,44.2,4.0,0.0,0.0,1.0,1.0,18.7,10.0,3.0,0.0,30.0,10.0,3.0,0.1,0.33,0.06,0.4,0.4,360.0,452.0,79.6,7537.0,2364.0,130.0,147.0,88.4,160.0,177.0,90.4,66.0,113.0,58.4,0.4,7.0,18.0,8.0,4.0,29.0,402.0,50.0,13.0,0.0,89.0,15.0,13.0,4.0,2.0,0.0,0.0,304.0,63.0,85.0,236.0,169.0,16.0,17.0,12.0,2.0,10.0,17.0,11.0,13.0,13.0,9.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,13.0,15.0,8.0,1.0,12.0,33.0,36.4,21.0,204.0,54.0,26.5,70.0,102.0,32.0,12.0,3.0,0.0,9.0,21.0,18.0,0.0,569.0,88.0,272.0,230.0,93.0,13.0,524.0,6.0,11.0,54.5,7.0,1.0,353.0,1633.0,871.0,26.0,7.0,1.0,438.0,360.0,82.2,16.0,8.0,0.0,9.0,10.0,3.0,0.0,0.0,0.0,70.0,6.0,11.0,35.3
Leicester City,14.0,56.0,1.0,11.0,90.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.8,0.8,0.7,0.77,0.71,1.48,0.77,1.48,1.0,1.0,90.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.08,0.3,0.25,6.0,12.0,50.0,31.0,7.0,29.0,32.9,8.0,37.5,32.6,8.0,2.0,25.0,1.0,1.0,16.0,9.0,5.0,0.0,55.6,9.0,5.0,0.11,0.2,0.09,0.2,0.2,527.0,610.0,86.4,9974.0,2928.0,185.0,209.0,88.5,285.0,308.0,92.5,53.0,83.0,63.9,0.3,8.0,19.0,9.0,1.0,28.0,556.0,54.0,14.0,1.0,88.0,8.0,5.0,5.0,0.0,3.0,0.0,477.0,74.0,59.0,139.0,419.0,7.0,26.0,10.0,4.0,5.0,20.0,5.0,15.0,15.0,14.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,13.0,6.0,10.0,2.0,11.0,35.0,31.4,24.0,121.0,37.0,30.6,31.0,53.0,37.0,21.0,7.0,0.0,14.0,8.0,19.0,0.0,727.0,77.0,252.0,372.0,134.0,14.0,674.0,9.0,17.0,52.9,10.0,1.0,514.0,1937.0,1093.0,42.0,12.0,3.0,602.0,527.0,87.5,8.0,17.0,0.0,6.0,10.0,5.0,0.0,0.0,0.0,68.0,11.0,10.0,52.4
