squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,26.0,45.4,5.0,55.0,450.0,2.0,1.0,0.0,0.0,8.0,1.0,0.4,0.2,0.6,0.4,0.6,6.1,6.1,4.0,1.22,0.8,2.02,1.22,2.02,5.0,5.0,450.0,9.0,1.8,22.0,12.0,59.1,2.0,0.0,3.0,2.0,40.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,7.6,0.35,-1.4,-0.28,23.0,69.0,33.3,125.0,25.0,32.8,34.0,41.0,68.3,52.9,59.0,4.0,6.8,3.0,0.6,13.7,74.0,16.0,3.0,21.6,14.8,3.2,0.03,0.13,0.09,-4.1,-4.1,1788.0,2202.0,81.2,33161.0,10795.0,777.0,867.0,89.6,759.0,875.0,86.7,216.0,392.0,55.1,-3.0,58.0,126.0,51.0,13.0,151.0,1994.0,208.0,45.0,4.0,352.0,52.0,48.0,25.0,6.0,11.0,3.0,1487.0,285.0,430.0,919.0,1007.0,93.0,83.0,34.0,12.0,35.0,53.0,34.0,124.0,24.8,92.0,10.0,6.0,7.0,6.0,6.0,3.0,0.6,1.0,0.0,0.0,1.0,1.0,1.0,66.0,34.0,30.0,21.0,15.0,23.0,61.0,37.7,38.0,670.0,163.0,24.3,229.0,238.0,203.0,110.0,33.0,0.0,77.0,76.0,101.0,4.0,2808.0,378.0,997.0,1185.0,816.0,139.0,2605.0,41.0,83.0,49.4,48.0,2.0,1786.0,9337.0,5170.0,195.0,67.0,27.0,2019.0,1788.0,88.6,58.0,51.0,0.0,42.0,40.0,13.0,0.0,0.0,0.0,381.0,94.0,94.0,50.0
Aston Villa,22.0,51.0,5.0,55.0,450.0,7.0,5.0,2.0,2.0,12.0,0.0,1.4,1.0,2.4,1.0,2.0,5.6,4.2,2.9,1.13,0.59,1.72,0.85,1.44,5.0,5.0,450.0,7.0,1.4,15.0,8.0,53.3,2.0,1.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.5,0.3,-2.5,-0.5,33.0,69.0,47.8,126.0,25.0,35.7,36.1,42.0,57.1,46.0,40.0,5.0,12.5,8.0,1.6,17.1,59.0,16.0,2.0,27.1,11.8,3.2,0.08,0.31,0.07,1.4,0.8,1583.0,2061.0,76.8,34416.0,12458.0,511.0,600.0,85.2,737.0,851.0,86.6,310.0,531.0,58.4,2.1,39.0,148.0,44.0,11.0,170.0,1822.0,239.0,75.0,3.0,295.0,92.0,68.0,26.0,17.0,7.0,1.0,1254.0,314.0,493.0,695.0,1090.0,107.0,84.0,33.0,7.0,47.0,59.0,53.0,90.0,18.0,54.0,13.0,8.0,6.0,8.0,8.0,13.0,2.6,8.0,2.0,1.0,1.0,1.0,1.0,73.0,45.0,31.0,32.0,10.0,27.0,73.0,37.0,46.0,631.0,173.0,27.4,183.0,278.0,170.0,60.0,18.0,0.0,42.0,71.0,92.0,1.0,2606.0,298.0,848.0,1186.0,731.0,126.0,2373.0,55.0,88.0,62.5,59.0,5.0,1575.0,7547.0,3974.0,158.0,49.0,15.0,1951.0,1583.0,81.1,66.0,51.0,0.0,54.0,68.0,7.0,1.0,0.0,0.0,410.0,89.0,96.0,48.1
Brentford,20.0,42.8,5.0,55.0,450.0,5.0,3.0,1.0,1.0,11.0,1.0,1.0,0.6,1.6,0.8,1.4,6.5,5.7,4.7,1.29,0.94,2.23,1.14,2.08,5.0,5.0,450.0,2.0,0.4,13.0,11.0,84.6,2.0,2.0,1.0,3.0,60.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.23,1.0,0.19,48.0,126.0,38.1,196.0,25.0,47.4,40.1,42.0,78.6,57.8,45.0,6.0,13.3,8.0,1.6,15.9,46.0,11.0,1.0,23.9,9.2,2.2,0.09,0.36,0.12,-1.5,-1.7,1350.0,1870.0,72.2,27087.0,10632.0,536.0,628.0,85.4,589.0,724.0,81.4,201.0,428.0,47.0,-1.7,38.0,99.0,31.0,5.0,114.0,1649.0,221.0,62.0,4.0,288.0,43.0,40.0,12.0,9.0,0.0,1.0,1062.0,293.0,515.0,611.0,918.0,109.0,98.0,45.0,7.0,50.0,59.0,69.0,82.0,16.4,59.0,8.0,6.0,3.0,4.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,116.0,78.0,60.0,41.0,15.0,37.0,98.0,37.8,61.0,817.0,245.0,30.0,309.0,341.0,167.0,79.0,9.0,0.0,70.0,73.0,123.0,1.0,2454.0,399.0,1079.0,976.0,521.0,86.0,2242.0,33.0,57.0,57.9,38.0,4.0,1350.0,6362.0,3325.0,112.0,31.0,10.0,1766.0,1350.0,76.4,51.0,56.0,1.0,51.0,53.0,7.0,1.0,0.0,0.0,402.0,99.0,91.0,52.1
Brighton,20.0,56.6,5.0,55.0,450.0,7.0,6.0,1.0,1.0,10.0,0.0,1.4,1.2,2.6,1.2,2.4,5.3,4.6,3.2,1.07,0.64,1.71,0.93,1.57,5.0,5.0,450.0,4.0,0.8,13.0,10.0,76.9,4.0,0.0,1.0,2.0,40.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.24,0.0,0.01,21.0,88.0,23.9,169.0,25.0,38.5,38.6,37.0,62.2,52.8,57.0,13.0,22.8,1.0,0.2,13.4,56.0,18.0,5.0,32.1,11.2,3.6,0.11,0.33,0.08,1.7,1.4,2222.0,2701.0,82.3,44034.0,12871.0,829.0,923.0,89.8,1030.0,1156.0,89.1,320.0,518.0,61.8,2.8,42.0,117.0,39.0,5.0,144.0,2487.0,214.0,42.0,2.0,362.0,81.0,48.0,26.0,7.0,12.0,0.0,1973.0,278.0,450.0,519.0,1906.0,86.0,100.0,38.0,6.0,49.0,63.0,69.0,98.0,19.6,63.0,13.0,6.0,7.0,8.0,8.0,12.0,2.4,7.0,2.0,0.0,1.0,2.0,2.0,103.0,65.0,59.0,29.0,15.0,30.0,70.0,42.9,40.0,791.0,253.0,32.0,304.0,282.0,205.0,90.0,17.0,0.0,73.0,57.0,118.0,0.0,3306.0,388.0,1352.0,1318.0,832.0,113.0,3093.0,39.0,70.0,55.7,42.0,1.0,2106.0,9790.0,5191.0,199.0,64.0,18.0,2600.0,2222.0,85.5,49.0,74.0,0.0,45.0,42.0,7.0,0.0,1.0,0.0,400.0,78.0,98.0,44.3
Burnley,17.0,39.6,5.0,55.0,450.0,3.0,3.0,0.0,0.0,9.0,0.0,0.6,0.6,1.2,0.6,1.2,5.8,5.8,3.9,1.16,0.78,1.95,1.16,1.95,5.0,5.0,450.0,9.0,1.8,25.0,16.0,64.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,7.7,0.31,-1.3,-0.26,45.0,104.0,43.3,104.0,22.0,71.2,53.8,36.0,83.3,63.4,39.0,5.0,12.8,7.0,1.4,15.9,64.0,18.0,1.0,28.1,12.8,3.6,0.05,0.17,0.09,-2.8,-2.8,1251.0,1830.0,68.4,27239.0,11140.0,495.0,601.0,82.4,471.0,598.0,78.8,266.0,546.0,48.7,-0.9,45.0,120.0,37.0,18.0,118.0,1590.0,240.0,41.0,3.0,336.0,59.0,85.0,30.0,27.0,0.0,0.0,879.0,311.0,640.0,616.0,844.0,118.0,119.0,33.0,15.0,35.0,51.0,69.0,92.0,18.4,63.0,12.0,2.0,9.0,4.0,4.0,4.0,0.8,1.0,2.0,0.0,1.0,0.0,0.0,90.0,53.0,38.0,38.0,14.0,28.0,59.0,47.5,31.0,606.0,185.0,30.5,173.0,271.0,162.0,96.0,32.0,4.0,64.0,68.0,118.0,2.0,2395.0,265.0,725.0,1046.0,741.0,99.0,2159.0,33.0,54.0,61.1,36.0,1.0,1249.0,6856.0,3175.0,141.0,50.0,7.0,1642.0,1251.0,76.2,50.0,51.0,0.0,50.0,33.0,16.0,0.0,0.0,0.0,453.0,138.0,118.0,53.9
Chelsea,21.0,54.6,5.0,55.0,450.0,12.0,9.0,0.0,0.0,4.0,1.0,2.4,1.8,4.2,2.4,4.2,7.6,7.6,6.2,1.52,1.25,2.77,1.52,2.77,5.0,5.0,450.0,1.0,0.2,18.0,18.0,100.0,4.0,1.0,0.0,4.0,80.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.4,0.09,1.4,0.27,22.0,48.0,45.8,134.0,22.0,26.9,29.0,35.0,34.3,31.5,50.0,5.0,10.0,4.0,0.8,16.1,73.0,26.0,4.0,35.6,14.6,5.2,0.16,0.46,0.11,4.4,4.4,2406.0,2830.0,85.0,44144.0,13799.0,1038.0,1139.0,91.1,1015.0,1134.0,89.5,289.0,443.0,65.2,2.8,56.0,156.0,55.0,9.0,170.0,2616.0,214.0,52.0,15.0,381.0,53.0,64.0,31.0,20.0,3.0,2.0,2113.0,331.0,386.0,609.0,1972.0,77.0,89.0,33.0,5.0,25.0,77.0,56.0,125.0,25.0,104.0,4.0,7.0,3.0,5.0,5.0,22.0,4.4,15.0,2.0,2.0,0.0,2.0,2.0,96.0,60.0,47.0,31.0,18.0,29.0,82.0,35.4,53.0,678.0,213.0,31.4,231.0,298.0,149.0,84.0,19.0,1.0,65.0,86.0,134.0,1.0,3469.0,445.0,1233.0,1527.0,898.0,153.0,3262.0,38.0,68.0,55.9,41.0,1.0,2224.0,10175.0,5401.0,223.0,68.0,27.0,2728.0,2406.0,88.2,51.0,55.0,0.0,49.0,47.0,5.0,0.0,0.0,0.0,372.0,74.0,71.0,51.0
Crystal Palace,18.0,49.2,5.0,55.0,450.0,5.0,3.0,1.0,1.0,6.0,0.0,1.0,0.6,1.6,0.8,1.4,4.8,4.1,3.3,0.97,0.66,1.63,0.82,1.48,5.0,5.0,450.0,8.0,1.6,24.0,16.0,66.7,1.0,2.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,5.7,0.24,-2.3,-0.45,29.0,61.0,47.5,117.0,24.0,35.9,33.7,40.0,47.5,33.5,49.0,4.0,8.2,1.0,0.2,11.5,50.0,10.0,2.0,20.0,10.0,2.0,0.08,0.4,0.08,0.2,-0.1,1835.0,2294.0,80.0,35910.0,11618.0,741.0,843.0,87.9,797.0,921.0,86.5,261.0,449.0,58.1,-0.3,36.0,101.0,30.0,9.0,126.0,2045.0,249.0,66.0,2.0,339.0,80.0,53.0,21.0,7.0,7.0,5.0,1461.0,335.0,498.0,508.0,1475.0,94.0,109.0,38.0,7.0,35.0,82.0,38.0,81.0,16.2,57.0,9.0,5.0,3.0,4.0,4.0,10.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,89.0,50.0,52.0,30.0,7.0,31.0,74.0,41.9,43.0,684.0,183.0,26.8,264.0,288.0,132.0,91.0,24.0,0.0,67.0,55.0,119.0,1.0,2951.0,405.0,1154.0,1296.0,662.0,106.0,2706.0,49.0,86.0,57.0,51.0,4.0,1905.0,8844.0,4525.0,149.0,53.0,17.0,2188.0,1835.0,83.9,91.0,71.0,0.0,54.0,59.0,7.0,0.0,0.0,0.0,415.0,90.0,81.0,52.6
Everton,22.0,41.6,5.0,55.0,450.0,10.0,8.0,2.0,2.0,10.0,0.0,2.0,1.6,3.6,1.6,3.2,8.1,6.6,5.6,1.62,1.12,2.73,1.32,2.43,5.0,5.0,450.0,7.0,1.4,18.0,12.0,61.1,3.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,4.5,0.25,-1.5,-0.3,32.0,108.0,29.6,96.0,17.0,74.0,52.4,46.0,80.4,64.0,41.0,4.0,9.8,1.0,0.2,12.5,68.0,24.0,3.0,35.3,13.6,4.8,0.12,0.33,0.1,1.9,1.4,1305.0,1797.0,72.6,26209.0,10360.0,525.0,623.0,84.3,534.0,661.0,80.8,204.0,406.0,50.2,2.4,56.0,101.0,36.0,10.0,137.0,1559.0,238.0,39.0,7.0,374.0,51.0,46.0,24.0,5.0,13.0,1.0,1003.0,292.0,502.0,499.0,983.0,114.0,117.0,26.0,4.0,55.0,50.0,64.0,114.0,22.8,91.0,11.0,1.0,4.0,7.0,7.0,18.0,3.6,16.0,0.0,0.0,0.0,2.0,2.0,98.0,60.0,57.0,28.0,13.0,36.0,94.0,38.3,58.0,722.0,226.0,31.3,285.0,288.0,149.0,88.0,26.0,0.0,62.0,72.0,148.0,1.0,2460.0,321.0,960.0,932.0,711.0,106.0,2222.0,32.0,72.0,44.4,35.0,4.0,1314.0,7643.0,4139.0,157.0,60.0,25.0,1684.0,1305.0,77.5,59.0,60.0,0.0,48.0,39.0,4.0,2.0,0.0,1.0,414.0,95.0,94.0,50.3
Leeds United,19.0,59.0,5.0,55.0,450.0,5.0,4.0,0.0,0.0,11.0,1.0,1.0,0.8,1.8,1.0,1.8,7.0,7.0,5.2,1.41,1.04,2.45,1.41,2.45,5.0,5.0,450.0,12.0,2.4,33.0,22.0,66.7,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,9.5,0.26,-2.5,-0.5,22.0,58.0,37.9,165.0,43.0,26.7,28.1,43.0,32.6,32.1,26.0,6.0,23.1,5.0,1.0,15.8,71.0,22.0,0.0,31.0,14.2,4.4,0.07,0.23,0.1,-2.0,-2.0,2188.0,2663.0,82.2,43995.0,14138.0,832.0,948.0,87.8,1000.0,1095.0,91.3,330.0,541.0,61.0,-1.2,54.0,154.0,46.0,13.0,194.0,2418.0,245.0,63.0,4.0,375.0,84.0,73.0,24.0,15.0,4.0,2.0,1808.0,382.0,473.0,1247.0,1140.0,96.0,98.0,57.0,7.0,44.0,84.0,59.0,105.0,21.0,77.0,12.0,4.0,7.0,5.0,5.0,9.0,1.8,6.0,1.0,1.0,1.0,0.0,0.0,98.0,53.0,62.0,29.0,7.0,40.0,83.0,48.2,43.0,858.0,254.0,29.6,309.0,365.0,184.0,76.0,29.0,0.0,47.0,74.0,122.0,3.0,3287.0,427.0,1309.0,1432.0,751.0,127.0,3054.0,38.0,76.0,50.0,43.0,3.0,2111.0,11203.0,6437.0,217.0,53.0,21.0,2587.0,2188.0,84.6,62.0,59.0,0.0,44.0,50.0,8.0,0.0,1.0,0.0,395.0,59.0,83.0,41.5
Leicester City,21.0,52.0,5.0,55.0,450.0,5.0,4.0,0.0,0.0,5.0,1.0,1.0,0.8,1.8,1.0,1.8,5.5,5.5,3.9,1.09,0.79,1.88,1.09,1.88,5.0,5.0,450.0,8.0,1.6,25.0,19.0,76.0,2.0,0.0,3.0,1.0,20.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.26,0.0,0.0,29.0,71.0,40.8,141.0,25.0,40.4,36.7,44.0,31.8,34.1,50.0,3.0,6.0,3.0,0.6,12.5,45.0,13.0,0.0,28.9,9.0,2.6,0.11,0.38,0.12,-0.5,-0.5,2134.0,2578.0,82.8,40588.0,12088.0,796.0,889.0,89.5,1047.0,1156.0,90.6,248.0,433.0,57.3,0.1,36.0,113.0,32.0,4.0,143.0,2333.0,245.0,60.0,3.0,349.0,66.0,39.0,28.0,13.0,11.0,1.0,1878.0,319.0,381.0,546.0,1777.0,82.0,100.0,28.0,8.0,47.0,71.0,50.0,69.0,13.8,56.0,6.0,4.0,2.0,1.0,1.0,8.0,1.6,6.0,0.0,1.0,1.0,0.0,0.0,96.0,59.0,46.0,41.0,9.0,42.0,103.0,40.8,61.0,724.0,194.0,26.8,271.0,307.0,146.0,83.0,28.0,0.0,55.0,53.0,117.0,2.0,3135.0,398.0,1183.0,1503.0,622.0,104.0,2899.0,33.0,64.0,51.6,35.0,4.0,2061.0,9848.0,5375.0,200.0,53.0,22.0,2476.0,2134.0,86.2,50.0,64.0,0.0,37.0,42.0,11.0,0.0,2.0,0.0,352.0,66.0,63.0,51.2
