player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Tim Krul,nl NED,GK,Norwich City,33-170,1988,5.0,5.0,450.0,14.0,2.8,27.0,13.0,48.1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,11.0,0.42,-2.0,-0.39,36.0,95.0,37.9,171.0,20.0,44.4,37.9,46.0,41.3,38.3,44.0,3.0,6.8,4.0,0.8,14.1
Bernd Leno,de GER,GK,Arsenal,29-200,1992,3.0,3.0,270.0,9.0,3.0,18.0,8.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,0.39,-2.0,-0.66,11.0,39.0,28.2,61.0,11.0,37.7,36.4,26.0,61.5,45.6,30.0,2.0,6.7,1.0,0.33,13.1
Hugo Lloris,fr FRA,GK,Tottenham,34-268,1986,5.0,5.0,450.0,6.0,1.2,23.0,18.0,78.3,3.0,0.0,2.0,3.0,60.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,7.4,0.29,1.4,0.29,35.0,83.0,42.2,81.0,13.0,64.2,45.9,49.0,63.3,47.2,60.0,0.0,0.0,1.0,0.2,10.6
Emiliano Martínez,ar ARG,GK,Aston Villa,29-018,1992,4.0,4.0,360.0,4.0,1.0,11.0,7.0,63.6,2.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.7,0.25,-1.3,-0.32,27.0,56.0,48.2,96.0,19.0,37.5,36.6,36.0,55.6,44.6,32.0,4.0,12.5,7.0,1.75,17.7
Alex McCarthy,eng ENG,GK,Southampton,31-291,1989,5.0,5.0,450.0,6.0,1.2,17.0,11.0,64.7,0.0,4.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.9,0.41,0.9,0.19,24.0,89.0,27.0,104.0,19.0,51.0,42.6,42.0,85.7,63.8,53.0,7.0,13.2,0.0,0.0,12.4
Edouard Mendy,sn SEN,GK,Chelsea,29-203,1992,4.0,4.0,360.0,1.0,0.25,16.0,16.0,100.0,3.0,1.0,0.0,3.0,75.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.08,1.0,0.25,16.0,40.0,40.0,108.0,16.0,25.9,28.8,31.0,38.7,34.3,42.0,4.0,9.5,3.0,0.75,15.4
Illan Meslier,fr FRA,GK,Leeds United,21-202,2000,5.0,5.0,450.0,12.0,2.4,33.0,22.0,66.7,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,9.5,0.26,-2.5,-0.5,22.0,58.0,37.9,165.0,43.0,26.7,28.1,43.0,32.6,32.1,26.0,6.0,23.1,5.0,1.0,15.8
Jordan Pickford,eng ENG,GK,Everton,27-197,1994,4.0,4.0,360.0,4.0,1.0,15.0,11.0,73.3,3.0,1.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.6,0.24,-0.4,-0.11,27.0,92.0,29.3,85.0,15.0,74.1,52.7,34.0,85.3,69.1,36.0,3.0,8.3,1.0,0.25,12.1
Nick Pope,eng ENG,GK,Burnley,29-154,1992,5.0,5.0,450.0,9.0,1.8,25.0,16.0,64.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,7.7,0.31,-1.3,-0.26,45.0,104.0,43.3,104.0,22.0,71.2,53.8,36.0,83.3,63.4,39.0,5.0,12.8,7.0,1.4,15.9
Aaron Ramsdale,eng ENG,GK,Arsenal,23-129,1998,2.0,2.0,180.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6,0.15,0.6,0.29,12.0,30.0,40.0,64.0,14.0,28.1,31.7,15.0,80.0,65.5,29.0,2.0,6.9,2.0,1.0,14.1
David Raya,es ESP,GK,Brentford,26-005,1995,5.0,5.0,450.0,2.0,0.4,13.0,11.0,84.6,2.0,2.0,1.0,3.0,60.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.23,1.0,0.19,48.0,126.0,38.1,196.0,25.0,47.4,40.1,42.0,78.6,57.8,45.0,6.0,13.3,8.0,1.6,15.9
José Sá,pt POR,GK,Wolves,28-246,1993,5.0,5.0,450.0,5.0,1.0,17.0,14.0,82.4,1.0,0.0,4.0,1.0,20.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,6.3,0.27,1.3,0.27,17.0,36.0,47.2,81.0,22.0,34.6,36.5,26.0,30.8,33.0,22.0,4.0,18.2,8.0,1.6,19.7
Robert Sánchez,es ESP,GK,Brighton,23-306,1997,5.0,5.0,450.0,4.0,0.8,13.0,10.0,76.9,4.0,0.0,1.0,2.0,40.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.24,0.0,0.01,21.0,88.0,23.9,169.0,25.0,38.5,38.6,37.0,62.2,52.8,57.0,13.0,22.8,1.0,0.2,13.4
Kasper Schmeichel,dk DEN,GK,Leicester City,34-319,1986,5.0,5.0,450.0,8.0,1.6,25.0,19.0,76.0,2.0,0.0,3.0,1.0,20.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.26,0.0,0.0,29.0,71.0,40.8,141.0,25.0,40.4,36.7,44.0,31.8,34.1,50.0,3.0,6.0,3.0,0.6,12.5
Jed Steer,eng ENG,GK,Aston Villa,28-362,1992,1.0,1.0,90.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,0.45,-1.2,-1.2,6.0,13.0,46.2,30.0,6.0,30.0,34.5,6.0,66.7,54.0,8.0,1.0,12.5,1.0,1.0,14.3
Freddie Woodman,eng ENG,GK,Newcastle Utd,24-200,1997,4.0,4.0,360.0,12.0,3.0,19.0,9.0,47.4,0.0,1.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,8.9,0.35,-3.1,-0.78,21.0,70.0,30.0,79.0,11.0,53.2,43.1,43.0,65.1,52.0,33.0,2.0,6.1,0.0,0.0,11.6
