player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Alisson,br BRA,GK,Liverpool,28-353,1992,5.0,5.0,450.0,1.0,0.2,15.0,14.0,93.3,4.0,1.0,0.0,4.0,80.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.6,0.26,2.6,0.53,26.0,47.0,55.3,142.0,22.0,23.2,31.4,26.0,53.8,43.3,49.0,5.0,10.2,7.0,1.4,17.2
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-352,1994,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.18,0.4,0.36,6.0,8.0,75.0,26.0,6.0,30.8,30.0,4.0,0.0,9.3,8.0,1.0,12.5,1.0,1.0,18.0
Daniel Bachmann,at AUT,GK,Watford,27-073,1994,4.0,4.0,360.0,7.0,1.75,17.0,12.0,64.7,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,5.8,0.28,-0.2,-0.05,19.0,45.0,42.2,95.0,27.0,34.7,35.4,35.0,34.3,36.2,38.0,2.0,5.3,1.0,0.25,12.2
Asmir Begović,ba BIH,GK,Everton,34-092,1987,1.0,1.0,90.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9,0.31,-1.1,-1.08,5.0,16.0,31.3,11.0,2.0,72.7,50.5,12.0,66.7,49.6,5.0,1.0,20.0,0.0,0.0,15.0
Karl Darlow,eng ENG,GK,Newcastle Utd,30-347,1990,1.0,1.0,90.0,1.0,1.0,9.0,8.0,88.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.17,0.5,0.5,12.0,23.0,52.2,22.0,5.0,59.1,48.8,11.0,90.9,66.5,14.0,1.0,7.1,0.0,0.0,11.4
Ederson,br BRA,GK,Manchester City,28-034,1993,5.0,5.0,450.0,1.0,0.2,5.0,4.0,80.0,3.0,1.0,1.0,4.0,80.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.9,0.18,-0.1,-0.02,16.0,24.0,66.7,111.0,26.0,18.9,27.2,23.0,13.0,30.5,20.0,0.0,0.0,7.0,1.4,18.3
Łukasz Fabiański,pl POL,GK,West Ham,36-155,1985,5.0,5.0,450.0,7.0,1.4,18.0,10.0,61.1,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.3,0.36,-0.7,-0.15,28.0,61.0,45.9,78.0,17.0,52.6,42.4,37.0,54.1,43.9,45.0,3.0,6.7,1.0,0.2,12.5
Ben Foster,eng ENG,GK,Watford,38-170,1983,1.0,1.0,90.0,1.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.21,-0.1,-0.15,11.0,26.0,42.3,26.0,2.0,73.1,50.4,7.0,100.0,71.1,10.0,1.0,10.0,2.0,2.0,24.5
David de Gea,es ESP,GK,Manchester Utd,30-317,1990,5.0,5.0,450.0,4.0,0.8,18.0,15.0,77.8,4.0,1.0,0.0,1.0,20.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,5.0,0.26,2.0,0.41,17.0,25.0,68.0,69.0,16.0,17.4,27.2,39.0,33.3,32.0,37.0,2.0,5.4,1.0,0.2,12.2
Vicente Guaita,es ESP,GK,Crystal Palace,34-253,1987,5.0,5.0,450.0,8.0,1.6,24.0,16.0,66.7,1.0,2.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,5.7,0.24,-2.3,-0.45,29.0,61.0,47.5,117.0,24.0,35.9,33.7,40.0,47.5,33.5,49.0,4.0,8.2,1.0,0.2,11.5
