Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Chelsea,5,4,1,0,12,1,11,13,7.6,5.5,2.1,0.42,W W D W W,39467,Romelu Lukaku - 3,Edouard Mendy,
2,Liverpool,5,4,1,0,12,1,11,13,14.5,5.1,9.4,1.88,W W D W W,53296,Mohamed Salah - 4,Alisson,
3,Manchester Utd,5,4,1,0,13,4,9,13,7.6,5.5,2.1,0.41,W D W W W,72732,Bruno Fernandes - 4,David de Gea,
4,Brighton,5,4,0,1,7,4,3,12,5.3,6.0,-0.6,-0.13,W W L W W,30370,Neal Maupay - 3,Robert Sánchez,
5,Manchester City,5,3,1,1,11,1,10,10,12.2,2.7,9.5,1.9,L W W W D,52137,Ferrán Torres - 2,Ederson,
6,Everton,5,3,1,1,10,7,3,10,8.1,5.8,2.3,0.46,W D W W L,34244,"Demarai Gray, Dominic Calvert-Lewin - 3",Jordan Pickford,
7,Tottenham,5,3,0,2,3,6,-3,9,4.6,8.2,-3.6,-0.73,W W W L L,58664,Son Heung-min - 2,Hugo Lloris,
8,West Ham,5,2,2,1,11,7,4,8,8.2,5.5,2.7,0.54,W W D D L,59826,Michail Antonio - 4,Łukasz Fabiański,
9,Brentford,5,2,2,1,5,2,3,8,6.5,3.6,2.9,0.58,W D D L W,16499,Ivan Toney - 2,David Raya,
10,Aston Villa,5,2,1,2,8,7,1,7,5.6,4.9,0.7,0.14,L W D L W,41966,Danny Ings - 2,Emiliano Martínez,
11,Watford,5,2,0,3,6,8,-2,6,4.7,6.5,-1.7,-0.34,W L L L W,20035,Ismaila Sarr - 3,Daniel Bachmann,
12,Leicester City,5,2,0,3,5,8,-3,6,5.5,9.5,-4.0,-0.8,W L W L L,32035,Jamie Vardy - 3,Kasper Schmeichel,
13,Arsenal,5,2,0,3,2,9,-7,6,6.1,9.9,-3.8,-0.76,L L L W W,58365,"Pierre-Emerick Aubameyang, Martin Ødegaard - 1",Bernd Leno,
14,Crystal Palace,5,1,2,2,5,8,-3,5,4.8,5.8,-1.0,-0.2,L D D W L,24546,"Conor Gallagher, Odsonne Édouard - 2",Vicente Guaita,
15,Southampton,5,0,4,1,4,6,-2,4,6.3,7.0,-0.7,-0.13,L D D D D,31000,"Mohamed Elyounoussi, Adam Armstrong... - 1",Alex McCarthy,
16,Wolves,5,1,0,4,2,5,-3,3,7.0,5.6,1.4,0.28,L L L W L,30495,Hwang Hee-chan - 1,José Sá,
17,Leeds United,5,0,3,2,5,12,-7,3,7.0,10.3,-3.3,-0.65,L D D L D,36400,Raphael Dias Belloli - 2,Illan Meslier,
18,Newcastle Utd,5,0,2,3,6,13,-7,2,5.6,11.3,-5.7,-1.14,L L D L D,48366,"Allan Saint-Maximin, Callum Wilson - 2",Freddie Woodman,
19,Burnley,5,0,1,4,3,9,-6,1,5.8,8.2,-2.3,-0.47,L L D L L,18455,"Ben Mee, Chris Wood... - 1",Nick Pope,
20,Norwich City,5,0,0,5,2,14,-12,0,4.7,10.9,-6.3,-1.25,L L L L L,26894,Teemu Pukki - 2,Tim Krul,
