player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Max Aarons,ENG,DF,Norwich City,21,2000,5.0,5.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.02,0.09,0.11,0.02,0.11,5.0,4.0,1.0,0.0,25.0,0.8,0.2,0.0,0.0,0.03,-0.1,-0.1,187.0,235.0,79.6,3163.0,988.0,95.0,100.0,95.0,76.0,90.0,84.4,15.0,34.0,44.1,-0.4,6.0,5.0,7.0,3.0,14.0,179.0,56.0,4.0,0.0,24.0,4.0,8.0,0.0,0.0,0.0,0.0,144.0,48.0,43.0,27.0,152.0,2.0,52.0,0.0,2.0,2.0,5.0,11.0,12.0,2.4,10.0,0.0,1.0,1.0,0.0,0.0,2.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,4.0,0.0,7.0,12.0,58.3,5.0,63.0,19.0,30.2,35.0,21.0,7.0,16.0,6.0,0.0,10.0,8.0,10.0,0.0,303.0,29.0,121.0,136.0,68.0,6.0,249.0,12.0,18.0,66.7,12.0,0.0,189.0,1084.0,714.0,26.0,9.0,2.0,196.0,174.0,88.8,6.0,3.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,30.0,2.0,12.0,14.3
Che Adams,SCO,"FW,MF",Southampton,25,1996,4.0,4.0,317.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.28,0.4,0.4,0.9,0.11,0.27,0.38,0.11,0.38,3.5,5.0,1.0,0.0,20.0,1.42,0.28,0.0,0.0,0.08,-0.4,-0.4,42.0,68.0,61.8,664.0,114.0,21.0,29.0,72.4,15.0,25.0,60.0,3.0,7.0,42.9,0.1,5.0,2.0,2.0,1.0,4.0,65.0,3.0,0.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,11.0,14.0,4.0,49.0,3.0,0.0,1.0,0.0,3.0,6.0,1.0,11.0,3.12,6.0,0.0,0.0,0.0,4.0,4.0,2.0,0.57,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,1.0,4.0,1.0,2.0,50.0,1.0,60.0,18.0,30.0,6.0,20.0,34.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,119.0,6.0,12.0,54.0,57.0,11.0,116.0,1.0,3.0,33.3,1.0,0.0,73.0,218.0,110.0,5.0,2.0,1.0,174.0,75.0,43.1,9.0,11.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,23.0,12.0,24.0,33.3
Rayan Aït Nouri,FRA,FW,Wolves,20,2001,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,0.1,1.0,0.0,0.0,0.0,12.86,0.0,0.0,0.0,0.03,0.0,0.0,2.0,3.0,66.7,30.0,12.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,1.0,100.0,1.0,0.0,5.0,103.0,85.0,2.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Kristoffer Ajer,NOR,DF,Brentford,23,1998,5.0,5.0,430.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.02,0.06,0.08,0.02,0.08,4.8,1.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.08,-0.1,-0.1,110.0,171.0,64.3,1873.0,811.0,47.0,55.0,85.5,51.0,73.0,69.9,8.0,28.0,28.6,-0.3,1.0,5.0,1.0,0.0,8.0,132.0,39.0,5.0,0.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,75.0,50.0,46.0,7.0,106.0,13.0,34.0,1.0,0.0,5.0,6.0,11.0,5.0,1.05,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,7.0,0.0,2.0,5.0,10.0,50.0,5.0,46.0,13.0,28.3,23.0,20.0,3.0,6.0,1.0,0.0,5.0,7.0,26.0,0.0,226.0,19.0,102.0,101.0,32.0,5.0,189.0,5.0,6.0,83.3,5.0,0.0,100.0,532.0,264.0,10.0,3.0,0.0,99.0,83.0,83.8,4.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,44.0,14.0,6.0,70.0
Nathan Aké,NED,DF,Manchester City,26,1995,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.1,0.1,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2,-0.2,-0.2,101.0,113.0,89.4,2051.0,572.0,30.0,34.0,88.2,58.0,62.0,93.5,13.0,17.0,76.5,0.0,0.0,2.0,0.0,0.0,2.0,112.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,3.0,12.0,80.0,26.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,16.7,3.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,16.0,0.0,138.0,11.0,70.0,79.0,2.0,2.0,137.0,0.0,0.0,0.0,0.0,0.0,93.0,611.0,406.0,8.0,0.0,0.0,103.0,100.0,97.1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,100.0
Marc Albrighton,ENG,"MF,FW",Leicester City,31,1989,2.0,2.0,180.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.2,0.02,0.11,0.13,0.02,0.13,2.0,1.0,1.0,0.0,100.0,0.5,0.5,1.0,1.0,0.04,1.0,1.0,29.0,60.0,48.3,647.0,279.0,11.0,11.0,100.0,12.0,20.0,60.0,5.0,23.0,21.7,-0.2,2.0,3.0,1.0,1.0,2.0,43.0,17.0,2.0,0.0,10.0,9.0,4.0,14.0,9.0,4.0,1.0,25.0,11.0,24.0,1.0,56.0,2.0,0.0,0.0,0.0,3.0,3.0,5.0,3.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,61.0,8.0,13.1,18.0,33.0,10.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,81.0,5.0,15.0,33.0,37.0,2.0,64.0,3.0,6.0,50.0,4.0,1.0,50.0,244.0,99.0,6.0,1.0,2.0,75.0,45.0,60.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
Thiago Alcántara,ESP,MF,Liverpool,30,1991,4.0,2.0,177.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.0,0.51,0.4,0.4,0.4,0.21,0.21,0.42,0.21,0.42,2.0,5.0,1.0,0.0,20.0,2.54,0.51,0.0,0.0,0.08,-0.4,-0.4,130.0,145.0,89.7,2827.0,725.0,42.0,47.0,89.4,61.0,64.0,95.3,24.0,29.0,82.8,0.6,4.0,20.0,3.0,0.0,20.0,142.0,3.0,1.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,104.0,18.0,23.0,11.0,125.0,4.0,0.0,0.0,0.0,2.0,6.0,2.0,11.0,5.59,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,2.0,1.0,1.0,3.0,33.3,2.0,21.0,10.0,47.6,11.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,164.0,4.0,30.0,102.0,42.0,4.0,161.0,0.0,0.0,0.0,0.0,0.0,115.0,564.0,316.0,19.0,4.0,1.0,124.0,117.0,94.4,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,0.0,100.0
Trent Alexander-Arnold,ENG,DF,Liverpool,22,1998,4.0,4.0,360.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.4,0.4,2.4,0.09,0.6,0.69,0.09,0.69,4.0,8.0,3.0,2.0,37.5,2.0,0.75,0.0,0.0,0.04,-0.4,-0.4,230.0,301.0,76.4,4793.0,2045.0,95.0,108.0,88.0,86.0,102.0,84.3,47.0,87.0,54.0,-0.4,19.0,21.0,11.0,3.0,30.0,234.0,67.0,10.0,3.0,27.0,25.0,21.0,21.0,1.0,17.0,1.0,151.0,51.0,99.0,21.0,236.0,5.0,36.0,0.0,1.0,7.0,13.0,5.0,28.0,7.0,17.0,10.0,1.0,0.0,0.0,0.0,3.0,0.75,3.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,4.0,0.0,4.0,12.0,33.3,8.0,49.0,13.0,26.5,19.0,16.0,14.0,8.0,1.0,0.0,7.0,11.0,9.0,0.0,345.0,13.0,75.0,137.0,151.0,13.0,277.0,4.0,9.0,44.4,4.0,0.0,195.0,973.0,564.0,27.0,6.0,3.0,218.0,202.0,92.7,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,34.0,6.0,2.0,75.0
Alisson,BRA,GK,Liverpool,28,1992,5.0,5.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,168.0,86.3,4036.0,2501.0,26.0,26.0,100.0,76.0,76.0,100.0,43.0,66.0,65.2,0.0,0.0,2.0,0.0,0.0,0.0,135.0,33.0,7.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,119.0,5.0,44.0,10.0,129.0,0.0,0.0,22.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,191.0,156.0,188.0,3.0,0.0,0.0,158.0,1.0,1.0,100.0,1.0,0.0,100.0,310.0,178.0,0.0,0.0,0.0,93.0,93.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
Allan,BRA,MF,Everton,30,1991,5.0,5.0,431.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,0.0,0.0,0.2,0.0,0.05,0.05,0.0,0.05,4.8,1.0,1.0,0.0,100.0,0.21,0.21,0.0,0.0,0.02,0.0,0.0,134.0,169.0,79.3,2611.0,857.0,52.0,61.0,85.2,58.0,71.0,81.7,20.0,29.0,69.0,0.8,4.0,18.0,4.0,1.0,18.0,158.0,11.0,7.0,0.0,31.0,4.0,2.0,0.0,0.0,0.0,0.0,111.0,21.0,37.0,20.0,143.0,6.0,0.0,0.0,0.0,5.0,7.0,4.0,8.0,1.67,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.63,3.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,12.0,5.0,2.0,5.0,18.0,27.8,13.0,120.0,43.0,35.8,56.0,54.0,10.0,8.0,2.0,0.0,6.0,7.0,13.0,0.0,228.0,16.0,83.0,115.0,46.0,0.0,217.0,4.0,7.0,57.1,4.0,0.0,132.0,722.0,405.0,16.0,8.0,0.0,112.0,104.0,92.9,2.0,8.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,56.0,0.0,3.0,0.0
