,squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
8,Leeds United,19.0,59.0,5.0,55.0,450.0,5.0,4.0,0.0,0.0,11.0,1.0,1.0,0.8,1.8,1.0,1.8,7.0,7.0,5.2,1.41,1.04,2.45,1.41,2.45,5.0,5.0,450.0,12.0,2.4,33.0,22.0,66.7,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,9.5,0.26,-2.5,-0.5,22.0,58.0,37.9,165.0,43.0,26.7,28.1,43.0,32.6,32.1,26.0,6.0,23.1,5.0,1.0,15.8,71.0,22.0,0.0,31.0,14.2,4.4,0.07,0.23,0.1,-2.0,-2.0,2188.0,2663.0,82.2,43995.0,14138.0,832.0,948.0,87.8,1000.0,1095.0,91.3,330.0,541.0,61.0,-1.2,54.0,154.0,46.0,13.0,194.0,2418.0,245.0,63.0,4.0,375.0,84.0,73.0,24.0,15.0,4.0,2.0,1808.0,382.0,473.0,1247.0,1140.0,96.0,98.0,57.0,7.0,44.0,84.0,59.0,105.0,21.0,77.0,12.0,4.0,7.0,5.0,5.0,9.0,1.8,6.0,1.0,1.0,1.0,0.0,0.0,98.0,53.0,62.0,29.0,7.0,40.0,83.0,48.2,43.0,858.0,254.0,29.6,309.0,365.0,184.0,76.0,29.0,0.0,47.0,74.0,122.0,3.0,3287.0,427.0,1309.0,1432.0,751.0,127.0,3054.0,38.0,76.0,50.0,43.0,3.0,2111.0,11203.0,6437.0,217.0,53.0,21.0,2587.0,2188.0,84.6,62.0,59.0,0.0,44.0,50.0,8.0,0.0,1.0,0.0,395.0,59.0,83.0,41.5
3,Brighton,20.0,56.6,5.0,55.0,450.0,7.0,6.0,1.0,1.0,10.0,0.0,1.4,1.2,2.6,1.2,2.4,5.3,4.6,3.2,1.07,0.64,1.71,0.93,1.57,5.0,5.0,450.0,4.0,0.8,13.0,10.0,76.9,4.0,0.0,1.0,2.0,40.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.24,0.0,0.01,21.0,88.0,23.9,169.0,25.0,38.5,38.6,37.0,62.2,52.8,57.0,13.0,22.8,1.0,0.2,13.4,56.0,18.0,5.0,32.1,11.2,3.6,0.11,0.33,0.08,1.7,1.4,2222.0,2701.0,82.3,44034.0,12871.0,829.0,923.0,89.8,1030.0,1156.0,89.1,320.0,518.0,61.8,2.8,42.0,117.0,39.0,5.0,144.0,2487.0,214.0,42.0,2.0,362.0,81.0,48.0,26.0,7.0,12.0,0.0,1973.0,278.0,450.0,519.0,1906.0,86.0,100.0,38.0,6.0,49.0,63.0,69.0,98.0,19.6,63.0,13.0,6.0,7.0,8.0,8.0,12.0,2.4,7.0,2.0,0.0,1.0,2.0,2.0,103.0,65.0,59.0,29.0,15.0,30.0,70.0,42.9,40.0,791.0,253.0,32.0,304.0,282.0,205.0,90.0,17.0,0.0,73.0,57.0,118.0,0.0,3306.0,388.0,1352.0,1318.0,832.0,113.0,3093.0,39.0,70.0,55.7,42.0,1.0,2106.0,9790.0,5191.0,199.0,64.0,18.0,2600.0,2222.0,85.5,49.0,74.0,0.0,45.0,42.0,7.0,0.0,1.0,0.0,400.0,78.0,98.0,44.3
2,Brentford,20.0,42.8,5.0,55.0,450.0,5.0,3.0,1.0,1.0,11.0,1.0,1.0,0.6,1.6,0.8,1.4,6.5,5.7,4.7,1.29,0.94,2.23,1.14,2.08,5.0,5.0,450.0,2.0,0.4,13.0,11.0,84.6,2.0,2.0,1.0,3.0,60.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.23,1.0,0.19,48.0,126.0,38.1,196.0,25.0,47.4,40.1,42.0,78.6,57.8,45.0,6.0,13.3,8.0,1.6,15.9,46.0,11.0,1.0,23.9,9.2,2.2,0.09,0.36,0.12,-1.5,-1.7,1350.0,1870.0,72.2,27087.0,10632.0,536.0,628.0,85.4,589.0,724.0,81.4,201.0,428.0,47.0,-1.7,38.0,99.0,31.0,5.0,114.0,1649.0,221.0,62.0,4.0,288.0,43.0,40.0,12.0,9.0,0.0,1.0,1062.0,293.0,515.0,611.0,918.0,109.0,98.0,45.0,7.0,50.0,59.0,69.0,82.0,16.4,59.0,8.0,6.0,3.0,4.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,116.0,78.0,60.0,41.0,15.0,37.0,98.0,37.8,61.0,817.0,245.0,30.0,309.0,341.0,167.0,79.0,9.0,0.0,70.0,73.0,123.0,1.0,2454.0,399.0,1079.0,976.0,521.0,86.0,2242.0,33.0,57.0,57.9,38.0,4.0,1350.0,6362.0,3325.0,112.0,31.0,10.0,1766.0,1350.0,76.4,51.0,56.0,1.0,51.0,53.0,7.0,1.0,0.0,0.0,402.0,99.0,91.0,52.1
15,Southampton,18.0,46.0,5.0,55.0,450.0,3.0,1.0,1.0,1.0,10.0,0.0,0.6,0.2,0.8,0.4,0.6,6.3,5.5,4.5,1.26,0.9,2.16,1.11,2.01,5.0,5.0,450.0,6.0,1.2,17.0,11.0,64.7,0.0,4.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.9,0.41,0.9,0.19,24.0,89.0,27.0,104.0,19.0,51.0,42.6,42.0,85.7,63.8,53.0,7.0,13.2,0.0,0.0,12.4,56.0,15.0,3.0,26.8,11.2,3.0,0.04,0.13,0.11,-3.3,-3.5,1561.0,2058.0,75.9,28900.0,9820.0,676.0,769.0,87.9,681.0,830.0,82.0,176.0,382.0,46.1,-3.5,39.0,117.0,29.0,6.0,137.0,1823.0,235.0,58.0,2.0,304.0,37.0,48.0,29.0,19.0,8.0,0.0,1376.0,248.0,434.0,425.0,1367.0,92.0,95.0,27.0,0.0,41.0,59.0,47.0,86.0,17.2,59.0,5.0,5.0,5.0,7.0,7.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,100.0,62.0,48.0,30.0,22.0,28.0,79.0,35.4,51.0,790.0,233.0,29.5,290.0,320.0,180.0,69.0,24.0,2.0,45.0,82.0,111.0,0.0,2663.0,298.0,861.0,1257.0,734.0,113.0,2433.0,48.0,86.0,55.8,54.0,5.0,1591.0,9362.0,5720.0,237.0,82.0,24.0,1921.0,1561.0,81.3,60.0,70.0,0.0,55.0,48.0,0.0,1.0,0.0,0.0,426.0,65.0,109.0,37.4
7,Everton,22.0,41.6,5.0,55.0,450.0,10.0,8.0,2.0,2.0,10.0,0.0,2.0,1.6,3.6,1.6,3.2,8.1,6.6,5.6,1.62,1.12,2.73,1.32,2.43,5.0,5.0,450.0,7.0,1.4,18.0,12.0,61.1,3.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,4.5,0.25,-1.5,-0.3,32.0,108.0,29.6,96.0,17.0,74.0,52.4,46.0,80.4,64.0,41.0,4.0,9.8,1.0,0.2,12.5,68.0,24.0,3.0,35.3,13.6,4.8,0.12,0.33,0.1,1.9,1.4,1305.0,1797.0,72.6,26209.0,10360.0,525.0,623.0,84.3,534.0,661.0,80.8,204.0,406.0,50.2,2.4,56.0,101.0,36.0,10.0,137.0,1559.0,238.0,39.0,7.0,374.0,51.0,46.0,24.0,5.0,13.0,1.0,1003.0,292.0,502.0,499.0,983.0,114.0,117.0,26.0,4.0,55.0,50.0,64.0,114.0,22.8,91.0,11.0,1.0,4.0,7.0,7.0,18.0,3.6,16.0,0.0,0.0,0.0,2.0,2.0,98.0,60.0,57.0,28.0,13.0,36.0,94.0,38.3,58.0,722.0,226.0,31.3,285.0,288.0,149.0,88.0,26.0,0.0,62.0,72.0,148.0,1.0,2460.0,321.0,960.0,932.0,711.0,106.0,2222.0,32.0,72.0,44.4,35.0,4.0,1314.0,7643.0,4139.0,157.0,60.0,25.0,1684.0,1305.0,77.5,59.0,60.0,0.0,48.0,39.0,4.0,2.0,0.0,1.0,414.0,95.0,94.0,50.3
