player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_def,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Max Aarons,ENG,DF,Norwich City,21,2000,6.0,6.0,540.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.03,0.07,0.1,0.03,0.1,6.0,5.0,1.0,0.0,20.0,0.83,0.17,0.0,0.0,0.03,-0.2,-0.2,233.0,289.0,80.6,3855.0,1227.0,123.0,130.0,94.6,90.0,108.0,83.3,18.0,39.0,46.2,-0.4,6.0,7.0,8.0,3.0,18.0,218.0,71.0,6.0,0.0,32.0,4.0,9.0,0.0,0.0,0.0,0.0,179.0,63.0,47.0,34.0,184.0,3.0,65.0,0.0,2.0,3.0,7.0,11.0,13.0,2.17,10.0,0.0,1.0,1.0,1.0,1.0,2.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,6.0,5.0,0.0,7.0,13.0,53.8,6.0,76.0,22.0,28.9,44.0,24.0,8.0,19.0,6.0,0.0,13.0,8.0,13.0,0.0,367.0,32.0,147.0,164.0,81.0,6.0,299.0,13.0,21.0,61.9,13.0,0.0,225.0,1321.0,830.0,31.0,10.0,2.0,242.0,214.0,88.4,6.0,4.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,34.0,3.0,12.0,20.0
Che Adams,SCO,"FW,MF",Southampton,25,1996,5.0,5.0,380.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,0.6,0.6,1.1,0.14,0.25,0.39,0.14,0.39,4.2,7.0,3.0,0.0,42.9,1.66,0.71,0.0,0.0,0.08,-0.6,-0.6,54.0,81.0,66.7,824.0,129.0,29.0,38.0,76.3,17.0,27.0,63.0,4.0,8.0,50.0,-0.1,6.0,2.0,2.0,1.0,4.0,77.0,4.0,0.0,1.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,51.0,14.0,16.0,5.0,59.0,5.0,0.0,1.0,0.0,3.0,7.0,1.0,13.0,3.08,8.0,0.0,0.0,0.0,4.0,4.0,2.0,0.47,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,1.0,4.0,1.0,2.0,50.0,1.0,74.0,22.0,29.7,6.0,27.0,41.0,4.0,2.0,0.0,2.0,1.0,5.0,0.0,139.0,7.0,16.0,61.0,67.0,16.0,135.0,1.0,4.0,25.0,1.0,0.0,86.0,262.0,132.0,7.0,3.0,2.0,207.0,88.0,42.5,10.0,11.0,0.0,12.0,11.0,2.0,0.0,0.0,0.0,26.0,12.0,24.0,33.3
Rayan Aït Nouri,FRA,FW,Wolves,20,2001,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,0.1,1.0,0.0,0.0,0.0,12.86,0.0,0.0,0.0,0.03,0.0,0.0,2.0,3.0,66.7,30.0,12.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,1.0,100.0,1.0,0.0,5.0,103.0,85.0,2.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Kristoffer Ajer,NOR,DF,Brentford,23,1998,6.0,6.0,520.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.01,0.05,0.06,0.01,0.06,5.8,1.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.08,-0.1,-0.1,122.0,190.0,64.2,2127.0,964.0,52.0,60.0,86.7,56.0,81.0,69.1,10.0,33.0,30.3,-0.3,1.0,6.0,2.0,1.0,9.0,146.0,44.0,6.0,0.0,27.0,3.0,2.0,0.0,0.0,0.0,0.0,82.0,53.0,55.0,9.0,117.0,15.0,38.0,1.0,0.0,5.0,6.0,12.0,6.0,1.04,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,7.0,0.0,2.0,5.0,12.0,41.7,7.0,52.0,15.0,28.8,27.0,22.0,3.0,9.0,4.0,1.0,5.0,12.0,31.0,0.0,259.0,30.0,119.0,116.0,34.0,6.0,218.0,5.0,6.0,83.3,5.0,0.0,111.0,623.0,331.0,10.0,3.0,0.0,111.0,92.0,82.9,4.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,49.0,16.0,8.0,66.7
Nathan Aké,NED,DF,Manchester City,26,1995,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.1,0.1,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2,-0.2,-0.2,101.0,113.0,89.4,2051.0,572.0,30.0,34.0,88.2,58.0,62.0,93.5,13.0,17.0,76.5,0.0,0.0,2.0,0.0,0.0,2.0,112.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,3.0,12.0,80.0,26.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,16.7,3.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,16.0,0.0,138.0,11.0,70.0,79.0,2.0,2.0,137.0,0.0,0.0,0.0,0.0,0.0,93.0,611.0,406.0,8.0,0.0,0.0,103.0,100.0,97.1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,100.0
Marc Albrighton,ENG,"MF,FW",Leicester City,31,1989,2.0,2.0,180.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.2,0.02,0.11,0.13,0.02,0.13,2.0,1.0,1.0,0.0,100.0,0.5,0.5,1.0,1.0,0.04,1.0,1.0,29.0,60.0,48.3,647.0,279.0,11.0,11.0,100.0,12.0,20.0,60.0,5.0,23.0,21.7,-0.2,2.0,3.0,1.0,1.0,2.0,43.0,17.0,2.0,0.0,10.0,9.0,4.0,14.0,9.0,4.0,1.0,25.0,11.0,24.0,1.0,56.0,2.0,0.0,0.0,0.0,3.0,3.0,5.0,3.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,61.0,8.0,13.1,18.0,33.0,10.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,81.0,5.0,15.0,33.0,37.0,2.0,64.0,3.0,6.0,50.0,4.0,1.0,50.0,244.0,99.0,6.0,1.0,2.0,75.0,45.0,60.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
Thiago Alcántara,ESP,MF,Liverpool,30,1991,4.0,2.0,177.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.0,0.51,0.4,0.4,0.4,0.21,0.21,0.42,0.21,0.42,2.0,5.0,1.0,0.0,20.0,2.54,0.51,0.0,0.0,0.08,-0.4,-0.4,130.0,145.0,89.7,2827.0,725.0,42.0,47.0,89.4,61.0,64.0,95.3,24.0,29.0,82.8,0.6,4.0,20.0,3.0,0.0,20.0,142.0,3.0,1.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,104.0,18.0,23.0,11.0,125.0,4.0,0.0,0.0,0.0,2.0,6.0,2.0,11.0,5.59,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,2.0,1.0,1.0,3.0,33.3,2.0,21.0,10.0,47.6,11.0,6.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,164.0,4.0,30.0,102.0,42.0,4.0,161.0,0.0,0.0,0.0,0.0,0.0,115.0,564.0,316.0,19.0,4.0,1.0,124.0,117.0,94.4,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,0.0,100.0
Trent Alexander-Arnold,ENG,DF,Liverpool,22,1998,5.0,5.0,450.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.5,0.5,2.4,0.11,0.49,0.59,0.11,0.59,5.0,11.0,3.0,3.0,27.3,2.2,0.6,0.0,0.0,0.05,-0.5,-0.5,301.0,401.0,75.1,6521.0,2761.0,118.0,133.0,88.7,110.0,130.0,84.6,69.0,130.0,53.1,-0.4,20.0,34.0,17.0,4.0,43.0,317.0,84.0,13.0,3.0,35.0,34.0,26.0,29.0,4.0,21.0,1.0,196.0,62.0,143.0,33.0,314.0,9.0,42.0,0.0,2.0,9.0,15.0,7.0,33.0,6.6,20.0,11.0,1.0,1.0,0.0,0.0,4.0,0.8,4.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,5.0,2.0,6.0,14.0,42.9,8.0,58.0,17.0,29.3,24.0,18.0,16.0,9.0,2.0,0.0,7.0,14.0,12.0,0.0,460.0,17.0,100.0,192.0,192.0,13.0,375.0,4.0,10.0,40.0,4.0,0.0,267.0,1216.0,695.0,34.0,11.0,3.0,296.0,275.0,92.9,2.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,44.0,7.0,3.0,70.0
Alisson,BRA,GK,Liverpool,28,1992,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,198.0,85.9,4959.0,2996.0,28.0,28.0,100.0,84.0,85.0,98.8,58.0,85.0,68.2,0.0,0.0,3.0,0.0,0.0,0.0,155.0,43.0,10.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,136.0,7.0,55.0,10.0,153.0,0.0,0.0,28.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,224.0,181.0,221.0,3.0,0.0,0.0,181.0,1.0,1.0,100.0,1.0,0.0,114.0,369.0,219.0,0.0,0.0,0.0,106.0,106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
Allan,BRA,MF,Everton,30,1991,6.0,6.0,521.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.2,0.0,0.04,0.04,0.0,0.04,5.8,1.0,1.0,0.0,100.0,0.17,0.17,0.0,0.0,0.02,0.0,0.0,157.0,198.0,79.3,3058.0,951.0,59.0,72.0,81.9,71.0,85.0,83.5,22.0,31.0,71.0,0.8,4.0,18.0,4.0,1.0,19.0,185.0,13.0,8.0,0.0,35.0,4.0,2.0,0.0,0.0,0.0,0.0,135.0,23.0,40.0,26.0,166.0,6.0,0.0,0.0,0.0,5.0,11.0,5.0,9.0,1.55,8.0,0.0,0.0,0.0,1.0,1.0,4.0,0.69,3.0,0.0,0.0,0.0,1.0,1.0,20.0,17.0,13.0,5.0,2.0,5.0,22.0,22.7,17.0,144.0,50.0,34.7,66.0,65.0,13.0,9.0,2.0,0.0,7.0,10.0,13.0,0.0,262.0,16.0,90.0,139.0,53.0,2.0,249.0,4.0,7.0,57.1,4.0,0.0,157.0,876.0,475.0,20.0,10.0,1.0,134.0,124.0,92.5,2.0,9.0,0.0,7.0,4.0,0.0,1.0,0.0,0.0,63.0,0.0,3.0,0.0
