player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Alisson,br BRA,GK,Liverpool,28-361,1992,6.0,6.0,540.0,4.0,0.67,18.0,14.0,77.8,4.0,2.0,0.0,4.0,66.7,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,5.1,0.3,1.1,0.18,36.0,61.0,59.0,165.0,28.0,25.5,32.2,33.0,57.6,44.6,59.0,6.0,10.2,9.0,1.5,17.1
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-360,1994,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.18,0.4,0.36,6.0,8.0,75.0,26.0,6.0,30.8,30.0,4.0,0.0,9.3,8.0,1.0,12.5,1.0,1.0,18.0
Daniel Bachmann,at AUT,GK,Watford,27-081,1994,4.0,4.0,360.0,7.0,1.75,17.0,12.0,64.7,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,5.8,0.28,-0.2,-0.05,19.0,45.0,42.2,95.0,27.0,34.7,35.4,35.0,34.3,36.2,38.0,2.0,5.3,1.0,0.25,12.2
Asmir Begović,ba BIH,GK,Everton,34-100,1987,1.0,1.0,90.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9,0.31,-1.1,-1.08,5.0,16.0,31.3,11.0,2.0,72.7,50.5,12.0,66.7,49.6,5.0,1.0,20.0,0.0,0.0,15.0
Karl Darlow,eng ENG,GK,Newcastle Utd,30-355,1990,2.0,2.0,180.0,2.0,1.0,14.0,12.0,85.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.1,0.15,0.1,0.07,23.0,45.0,51.1,40.0,6.0,67.5,50.8,20.0,90.0,65.5,21.0,1.0,4.8,0.0,0.0,12.9
Ederson,br BRA,GK,Manchester City,28-042,1993,6.0,6.0,540.0,1.0,0.17,5.0,4.0,80.0,4.0,1.0,1.0,5.0,83.3,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.9,0.18,-0.1,-0.02,20.0,34.0,58.8,139.0,30.0,20.9,29.2,26.0,19.2,33.7,29.0,1.0,3.4,8.0,1.33,18.0
Łukasz Fabiański,pl POL,GK,West Ham,36-163,1985,6.0,6.0,540.0,8.0,1.33,23.0,14.0,65.2,3.0,2.0,1.0,1.0,16.7,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,7.9,0.36,-0.1,-0.01,33.0,73.0,45.2,101.0,24.0,47.5,40.6,43.0,58.1,45.6,52.0,3.0,5.8,1.0,0.17,12.1
Ben Foster,eng ENG,GK,Watford,38-178,1983,2.0,2.0,180.0,2.0,1.0,10.0,8.0,80.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.3,0.23,0.3,0.16,19.0,41.0,46.3,40.0,6.0,62.5,44.8,20.0,80.0,57.2,17.0,2.0,11.8,4.0,2.0,21.3
David de Gea,es ESP,GK,Manchester Utd,30-325,1990,6.0,6.0,540.0,5.0,0.83,21.0,17.0,76.2,4.0,1.0,1.0,1.0,16.7,1.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,5.7,0.26,1.7,0.28,20.0,30.0,66.7,87.0,18.0,19.5,28.6,44.0,29.5,31.1,52.0,3.0,5.8,1.0,0.17,12.5
Vicente Guaita,es ESP,GK,Crystal Palace,34-261,1987,6.0,6.0,540.0,9.0,1.5,28.0,19.0,67.9,1.0,3.0,2.0,2.0,33.3,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,7.3,0.26,-1.7,-0.28,33.0,72.0,45.8,138.0,29.0,37.0,34.7,45.0,46.7,33.8,55.0,5.0,9.1,1.0,0.17,11.6
Tim Krul,nl NED,GK,Norwich City,33-178,1988,6.0,6.0,540.0,16.0,2.67,30.0,15.0,50.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,13.0,0.41,-2.0,-0.33,38.0,103.0,36.9,197.0,28.0,42.1,37.9,51.0,39.2,37.4,51.0,3.0,5.9,4.0,0.67,12.6
Bernd Leno,de GER,GK,Arsenal,29-208,1992,3.0,3.0,270.0,9.0,3.0,18.0,8.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,0.39,-2.0,-0.66,11.0,39.0,28.2,61.0,11.0,37.7,36.4,26.0,61.5,45.6,30.0,2.0,6.7,1.0,0.33,13.1
Hugo Lloris,fr FRA,GK,Tottenham,34-276,1986,6.0,6.0,540.0,9.0,1.5,30.0,22.0,73.3,3.0,0.0,3.0,3.0,50.0,1.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,10.0,0.3,1.0,0.17,44.0,98.0,44.9,102.0,15.0,62.7,44.4,56.0,60.7,45.6,63.0,0.0,0.0,1.0,0.17,10.9
Emiliano Martínez,ar ARG,GK,Aston Villa,29-026,1992,5.0,5.0,450.0,4.0,0.8,15.0,11.0,73.3,3.0,1.0,1.0,3.0,60.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,3.3,0.22,-0.7,-0.14,36.0,89.0,40.4,124.0,20.0,48.4,41.3,49.0,59.2,46.3,41.0,4.0,9.8,8.0,1.6,17.3
Alex McCarthy,eng ENG,GK,Southampton,31-299,1989,6.0,6.0,540.0,7.0,1.17,20.0,13.0,65.0,0.0,4.0,2.0,2.0,33.3,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,8.0,0.4,1.0,0.17,27.0,96.0,28.1,126.0,22.0,46.8,40.6,45.0,82.2,61.4,54.0,8.0,14.8,0.0,0.0,12.3
Edouard Mendy,sn SEN,GK,Chelsea,29-211,1992,5.0,5.0,450.0,2.0,0.4,19.0,18.0,94.7,3.0,1.0,1.0,3.0,60.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,3.2,0.13,1.2,0.24,21.0,51.0,41.2,129.0,21.0,27.1,30.0,44.0,36.4,32.4,51.0,5.0,9.8,3.0,0.6,14.4
Illan Meslier,fr FRA,GK,Leeds United,21-210,2000,6.0,6.0,540.0,14.0,2.33,39.0,27.0,66.7,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,11.8,0.28,-1.2,-0.21,25.0,70.0,35.7,201.0,50.0,26.9,28.4,53.0,30.2,31.2,33.0,7.0,21.2,5.0,0.83,14.3
Jordan Pickford,eng ENG,GK,Everton,27-205,1994,5.0,5.0,450.0,4.0,0.8,17.0,13.0,76.5,4.0,1.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.6,0.21,-0.4,-0.07,36.0,113.0,31.9,107.0,18.0,70.1,51.3,45.0,84.4,67.5,43.0,3.0,7.0,2.0,0.4,12.7
Nick Pope,eng ENG,GK,Burnley,29-162,1992,6.0,6.0,540.0,11.0,1.83,28.0,17.0,60.7,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,8.7,0.31,-2.3,-0.38,52.0,130.0,40.0,120.0,23.0,72.5,54.5,49.0,87.8,65.6,50.0,6.0,12.0,7.0,1.17,15.6
Aaron Ramsdale,eng ENG,GK,Arsenal,23-137,1998,3.0,3.0,270.0,1.0,0.33,8.0,6.0,87.5,3.0,0.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.7,0.21,0.7,0.24,21.0,53.0,39.6,89.0,16.0,36.0,35.5,25.0,84.0,62.2,38.0,3.0,7.9,2.0,0.67,14.0
David Raya,es ESP,GK,Brentford,26-013,1995,6.0,6.0,540.0,5.0,0.83,17.0,12.0,70.6,2.0,3.0,1.0,3.0,50.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.4,0.32,0.4,0.07,58.0,160.0,36.3,229.0,30.0,51.1,42.4,52.0,82.7,59.4,56.0,7.0,12.5,10.0,1.67,15.6
José Sá,pt POR,GK,Wolves,28-254,1993,6.0,6.0,540.0,5.0,0.83,23.0,20.0,87.0,2.0,0.0,4.0,2.0,33.3,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,6.7,0.22,1.7,0.29,29.0,60.0,48.3,111.0,29.0,42.3,40.9,32.0,40.6,38.2,34.0,5.0,14.7,8.0,1.33,17.8
Robert Sánchez,es ESP,GK,Brighton,23-314,1997,6.0,6.0,540.0,5.0,0.83,14.0,11.0,78.6,4.0,1.0,1.0,2.0,33.3,2.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,4.7,0.21,-0.3,-0.05,36.0,116.0,31.0,229.0,32.0,39.7,38.3,43.0,58.1,49.9,63.0,13.0,20.6,3.0,0.5,13.9
Kasper Schmeichel,dk DEN,GK,Leicester City,34-327,1986,6.0,6.0,540.0,10.0,1.67,27.0,20.0,70.4,2.0,1.0,3.0,1.0,16.7,2.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,7.6,0.24,-1.4,-0.23,36.0,86.0,41.9,170.0,33.0,40.0,36.7,51.0,35.3,34.2,55.0,3.0,5.5,5.0,0.83,13.8
Jed Steer,eng ENG,GK,Aston Villa,29-005,1992,1.0,1.0,90.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,0.45,-1.2,-1.2,6.0,13.0,46.2,30.0,6.0,30.0,34.5,6.0,66.7,54.0,8.0,1.0,12.5,1.0,1.0,14.3
Freddie Woodman,eng ENG,GK,Newcastle Utd,24-208,1997,4.0,4.0,360.0,12.0,3.0,19.0,9.0,47.4,0.0,1.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,8.9,0.35,-3.1,-0.78,21.0,70.0,30.0,79.0,11.0,53.2,43.1,43.0,65.1,52.0,33.0,2.0,6.1,0.0,0.0,11.6
